customer_id,first_category,most_recent_category,category_shift
C0212,Electronics,Clothing,Yes
C0215,Books,Home,Yes
C0217,Electronics,Home,Yes
C0218,Electronics,Books,Yes
C0219,Electronics,Electronics,No
C0220,Home,Clothing,Yes
C0221,Home,Electronics,Yes
C0222,Home,Electronics,Yes
C0224,Clothing,Clothing,No
C0225,Clothing,Electronics,Yes
C0226,Clothing,Home,Yes
C0227,Home,Books,Yes
C0228,Home,Clothing,Yes
C0230,Electronics,Home,Yes
C0231,Home,Clothing,Yes
C0232,Electronics,Clothing,Yes
C0233,Home,Electronics,Yes
C0234,Home,Books,Yes
C0236,Home,Books,Yes
C0237,Books,Clothing,Yes
C0238,Electronics,Books,Yes
C0239,Electronics,Home,Yes
C0240,Home,Books,Yes
C0242,Electronics,Home,Yes
C0243,Clothing,Electronics,Yes
C0244,Books,Books,No
C0245,Books,Clothing,Yes
C0246,Home,Electronics,Yes
C0250,Electronics,Books,Yes
C0251,Clothing,Clothing,No
C0252,Home,Home,No
C0253,Books,Books,No
C0254,Home,Electronics,Yes
C0255,Clothing,Books,Yes
C0256,Home,Books,Yes
C0257,Clothing,Clothing,No
C0258,Electronics,Electronics,No
C0259,Home,Books,Yes
C0260,Home,Home,No
C0261,Clothing,Books,Yes
C0262,Home,Books,Yes
C0263,Home,Clothing,Yes
C0264,Electronics,Electronics,No
C0265,Clothing,Home,Yes
C0266,Home,Home,No
C0267,Home,Home,No
C0268,Electronics,Electronics,No
C0269,Home,Home,No
C0270,Clothing,Electronics,Yes
C0271,Clothing,Home,Yes
C0272,Electronics,Clothing,Yes
C0273,Home,Home,No
C0274,Home,Electronics,Yes
C0275,Clothing,Clothing,No
C0276,Electronics,Clothing,Yes
C0277,Books,Home,Yes
C0279,Electronics,Books,Yes
C0280,Home,Books,Yes
C0281,Books,Books,No
C0282,Electronics,Electronics,No
C0283,Books,Books,No
C0284,Home,Home,No
C0285,Books,Clothing,Yes
C0286,Electronics,Home,Yes
C0287,Home,Books,Yes
C0288,Home,Books,Yes
C0289,Clothing,Clothing,No
C0291,Clothing,Books,Yes
C0292,Clothing,Electronics,Yes
C0293,Clothing,Books,Yes
C0294,Home,Home,No
C0295,Clothing,Electronics,Yes
C0296,Home,Clothing,Yes
C0299,Home,Home,No
C0301,Books,Books,No
C0302,Clothing,Books,Yes
C0303,Electronics,Electronics,No
C0305,Books,Clothing,Yes
C0306,Clothing,Clothing,No
C0308,Electronics,Books,Yes
C0309,Electronics,Clothing,Yes
C0310,Books,Books,No
C0311,Clothing,Clothing,No
C0312,Electronics,Books,Yes
C0313,Home,Electronics,Yes
C0314,Electronics,Books,Yes
C0315,Clothing,Home,Yes
C0316,Clothing,Clothing,No
C0317,Clothing,Clothing,No
C0319,Home,Home,No
C0320,Electronics,Electronics,No
C0321,Books,Electronics,Yes
C0322,Home,Books,Yes
C0323,Home,Books,Yes
C0324,Home,Electronics,Yes
C0325,Home,Clothing,Yes
C0326,Electronics,Books,Yes
C0327,Home,Clothing,Yes
C0328,Home,Books,Yes
C0329,Home,Books,Yes
C0330,Books,Books,No
C0331,Electronics,Clothing,Yes
C0332,Books,Electronics,Yes
C0333,Clothing,Home,Yes
C0334,Electronics,Clothing,Yes
C0337,Books,Clothing,Yes
C0338,Books,Clothing,Yes
C0339,Clothing,Home,Yes
C0340,Home,Clothing,Yes
C0341,Home,Electronics,Yes
C0342,Home,Clothing,Yes
C0344,Electronics,Clothing,Yes
C0345,Clothing,Clothing,No
C0346,Books,Clothing,Yes
C0347,Home,Clothing,Yes
C0348,Books,Home,Yes
C0349,Clothing,Electronics,Yes
C0350,Home,Electronics,Yes
C0351,Electronics,Clothing,Yes
C0352,Electronics,Books,Yes
C0353,Books,Home,Yes
C0354,Electronics,Home,Yes
C0356,Electronics,Books,Yes
C0357,Books,Electronics,Yes
C0358,Home,Home,No
C0359,Clothing,Clothing,No
C0360,Electronics,Books,Yes
C0361,Electronics,Electronics,No
C0363,Home,Clothing,Yes
C0364,Clothing,Books,Yes
C0365,Electronics,Books,Yes
C0366,Books,Home,Yes
C0367,Electronics,Clothing,Yes
C0368,Books,Books,No
C0370,Home,Home,No
C0371,Home,Home,No
C0372,Home,Home,No
C0373,Home,Books,Yes
C0374,Clothing,Electronics,Yes
C0376,Electronics,Home,Yes
C0378,Books,Electronics,Yes
C0379,Home,Books,Yes
C0380,Electronics,Clothing,Yes
C0381,Books,Electronics,Yes
C0382,Home,Home,No
C0383,Home,Clothing,Yes
C0384,Home,Electronics,Yes
C0385,Electronics,Clothing,Yes
C0386,Home,Clothing,Yes
C0387,Books,Clothing,Yes
C0388,Electronics,Clothing,Yes
C0389,Clothing,Clothing,No
C0390,Electronics,Electronics,No
C0391,Books,Electronics,Yes
C0392,Electronics,Home,Yes
C0393,Clothing,Home,Yes
C0394,Electronics,Books,Yes
C0395,Electronics,Clothing,Yes
C0397,Books,Clothing,Yes
C0398,Clothing,Home,Yes
C0399,Home,Clothing,Yes
C0400,Books,Home,Yes
C0401,Clothing,Electronics,Yes
C0402,Electronics,Clothing,Yes
C0404,Home,Home,No
C0405,Electronics,Clothing,Yes
C0406,Clothing,Home,Yes
C0407,Home,Clothing,Yes
C0408,Books,Home,Yes
C0409,Books,Clothing,Yes
C0411,Clothing,Electronics,Yes
C0414,Books,Clothing,Yes
C0415,Books,Books,No
C0417,Books,Books,No
C0419,Books,Home,Yes
C0422,Home,Electronics,Yes
C0423,Books,Home,Yes
C0424,Home,Home,No
C0425,Books,Books,No
C0426,Electronics,Clothing,Yes
C0428,Books,Books,No
C0429,Clothing,Books,Yes
C0430,Books,Electronics,Yes
C0432,Clothing,Home,Yes
C0433,Books,Books,No
C0434,Books,Electronics,Yes
C0435,Electronics,Clothing,Yes
C0436,Home,Books,Yes
C0437,Clothing,Clothing,No
C0438,Electronics,Books,Yes
C0439,Home,Home,No
C0440,Books,Home,Yes
C0441,Electronics,Home,Yes
C0442,Books,Home,Yes
C0443,Home,Books,Yes
C0444,Clothing,Books,Yes
C0445,Books,Books,No
C0446,Electronics,Electronics,No
C0447,Home,Clothing,Yes
C0448,Home,Books,Yes
C0450,Electronics,Electronics,No
C0451,Books,Home,Yes
C0452,Electronics,Clothing,Yes
C0453,Home,Clothing,Yes
C0454,Electronics,Home,Yes
C0455,Home,Clothing,Yes
C0456,Electronics,Electronics,No
C0457,Electronics,Home,Yes
C0458,Clothing,Clothing,No
C0459,Books,Home,Yes
C0460,Home,Books,Yes
C0462,Electronics,Books,Yes
C0463,Home,Books,Yes
C0464,Clothing,Books,Yes
C0465,Home,Home,No
C0466,Electronics,Books,Yes
C0467,Electronics,Books,Yes
C0468,Books,Books,No
C0469,Books,Clothing,Yes
C0470,Books,Electronics,Yes
C0471,Clothing,Clothing,No
C0473,Home,Home,No
C0474,Clothing,Clothing,No
C0475,Books,Books,No
C0476,Home,Electronics,Yes
C0477,Books,Clothing,Yes
C0478,Electronics,Electronics,No
C0480,Home,Home,No
C0482,Clothing,Home,Yes
C0483,Home,Home,No
C0484,Clothing,Home,Yes
C0485,Electronics,Electronics,No
C0486,Home,Home,No
C0487,Clothing,Clothing,No
C0488,Books,Home,Yes
C0489,Books,Home,Yes
C0490,Electronics,Books,Yes
C0492,Books,Books,No
C0493,Clothing,Clothing,No
C0494,Books,Home,Yes
C0495,Home,Electronics,Yes
C0496,Electronics,Electronics,No
C0497,Books,Books,No
C0498,Clothing,Clothing,No
C0499,Electronics,Clothing,Yes
C0500,Books,Home,Yes
C0501,Clothing,Home,Yes
C0503,Books,Home,Yes
C0504,Books,Clothing,Yes
C0505,Home,Electronics,Yes
C0506,Clothing,Books,Yes
C0507,Clothing,Clothing,No
C0508,Books,Home,Yes
C0509,Electronics,Clothing,Yes
C0510,Books,Books,No
C0511,Books,Electronics,Yes
C0512,Clothing,Clothing,No
C0513,Books,Clothing,Yes
C0514,Books,Electronics,Yes
C0515,Books,Books,No
C0516,Clothing,Electronics,Yes
C0517,Electronics,Clothing,Yes
C0518,Electronics,Electronics,No
C0519,Home,Home,No
C0520,Home,Home,No
C0522,Books,Electronics,Yes
C0523,Electronics,Electronics,No
C0524,Books,Home,Yes
C0525,Home,Electronics,Yes
C0526,Electronics,Home,Yes
C0527,Books,Books,No
C0528,Electronics,Books,Yes
C0529,Books,Clothing,Yes
C0530,Home,Home,No
C0531,Home,Electronics,Yes
C0533,Electronics,Electronics,No
C0534,Clothing,Clothing,No
C0535,Books,Books,No
C0536,Clothing,Home,Yes
C0537,Books,Books,No
C0538,Electronics,Home,Yes
C0539,Books,Electronics,Yes
C0540,Books,Books,No
C0542,Home,Clothing,Yes
C0543,Home,Clothing,Yes
C0544,Books,Electronics,Yes
C0545,Books,Books,No
C0546,Clothing,Books,Yes
C0547,Clothing,Electronics,Yes
C0548,Home,Clothing,Yes
C0549,Books,Clothing,Yes
C0550,Books,Books,No
C0551,Books,Books,No
C0552,Electronics,Home,Yes
C0553,Clothing,Home,Yes
C0554,Home,Electronics,Yes
C0555,Clothing,Books,Yes
C0556,Electronics,Electronics,No
C0557,Home,Books,Yes
C0558,Books,Electronics,Yes
C0559,Books,Electronics,Yes
C0560,Books,Home,Yes
C0561,Books,Books,No
C0562,Home,Books,Yes
C0563,Clothing,Clothing,No
C0565,Electronics,Electronics,No
C0567,Electronics,Clothing,Yes
C0568,Electronics,Home,Yes
C0572,Books,Home,Yes
C0573,Books,Clothing,Yes
C0575,Clothing,Electronics,Yes
C0576,Clothing,Clothing,No
C0577,Books,Books,No
C0578,Books,Electronics,Yes
C0579,Books,Books,No
C0580,Electronics,Clothing,Yes
C0581,Electronics,Electronics,No
C0582,Books,Books,No
C0583,Books,Books,No
C0584,Electronics,Electronics,No
C0585,Home,Electronics,Yes
C0586,Clothing,Electronics,Yes
C0587,Clothing,Clothing,No
C0588,Electronics,Home,Yes
C0589,Electronics,Clothing,Yes
C0591,Books,Home,Yes
C0592,Books,Books,No
C0593,Electronics,Electronics,No
C0594,Electronics,Home,Yes
C0595,Books,Clothing,Yes
C0596,Home,Books,Yes
C0597,Books,Clothing,Yes
C0598,Electronics,Clothing,Yes
C0599,Electronics,Electronics,No
C0600,Clothing,Books,Yes
C0601,Books,Home,Yes
C0602,Books,Books,No
C0603,Home,Books,Yes
C0604,Home,Home,No
C0605,Home,Clothing,Yes
C0606,Clothing,Books,Yes
C0607,Electronics,Electronics,No
C0608,Books,Clothing,Yes
C0609,Home,Home,No
C0610,Home,Electronics,Yes
C0612,Books,Electronics,Yes
C0613,Home,Home,No
C0614,Electronics,Electronics,No
C0615,Electronics,Clothing,Yes
C0616,Books,Clothing,Yes
C0617,Home,Clothing,Yes
C0618,Books,Books,No
C0619,Home,Home,No
C0620,Books,Home,Yes
C0621,Clothing,Home,Yes
C0622,Books,Clothing,Yes
C0623,Home,Clothing,Yes
C0624,Home,Home,No
C0625,Books,Home,Yes
C0626,Clothing,Home,Yes
C0629,Books,Electronics,Yes
C0630,Home,Books,Yes
C0631,Clothing,Home,Yes
C0632,Clothing,Electronics,Yes
C0633,Home,Home,No
C0634,Clothing,Books,Yes
C0635,Clothing,Home,Yes
C0636,Clothing,Clothing,No
C0637,Home,Books,Yes
C0639,Books,Books,No
C0640,Clothing,Books,Yes
C0641,Books,Clothing,Yes
C0642,Home,Home,No
C0643,Clothing,Books,Yes
C0644,Electronics,Electronics,No
C0645,Books,Clothing,Yes
C0646,Electronics,Books,Yes
C0647,Clothing,Books,Yes
C0648,Books,Home,Yes
C0649,Electronics,Electronics,No
C0650,Home,Clothing,Yes
C0652,Books,Books,No
C0653,Home,Home,No
C0654,Electronics,Home,Yes
C0655,Books,Clothing,Yes
C0656,Books,Clothing,Yes
C0657,Electronics,Books,Yes
C0658,Home,Books,Yes
C0659,Books,Home,Yes
C0661,Books,Home,Yes
C0663,Books,Books,No
C0664,Books,Home,Yes
C0666,Books,Clothing,Yes
C0667,Clothing,Clothing,No
C0668,Home,Home,No
C0670,Electronics,Electronics,No
C0671,Books,Clothing,Yes
C0672,Clothing,Electronics,Yes
C0673,Home,Home,No
C0674,Books,Home,Yes
C0675,Clothing,Electronics,Yes
C0676,Home,Home,No
C0677,Books,Clothing,Yes
C0678,Electronics,Books,Yes
C0679,Books,Electronics,Yes
C0681,Books,Electronics,Yes
C0682,Home,Home,No
C0683,Electronics,Electronics,No
C0684,Electronics,Clothing,Yes
C0687,Home,Electronics,Yes
C0688,Electronics,Clothing,Yes
C0689,Electronics,Home,Yes
C0690,Electronics,Books,Yes
C0691,Books,Electronics,Yes
C0692,Home,Clothing,Yes
C0693,Books,Electronics,Yes
C0694,Home,Electronics,Yes
C0695,Books,Books,No
C0696,Home,Clothing,Yes
C0697,Clothing,Clothing,No
C0698,Home,Books,Yes
C0699,Books,Home,Yes
C0700,Books,Home,Yes
C0701,Electronics,Home,Yes
C0702,Home,Books,Yes
C0703,Clothing,Home,Yes
C0704,Clothing,Electronics,Yes
C0705,Electronics,Clothing,Yes
C0706,Clothing,Electronics,Yes
C0707,Clothing,Clothing,No
C0708,Books,Electronics,Yes
C0709,Books,Electronics,Yes
C0710,Electronics,Clothing,Yes
C0711,Books,Books,No
C0712,Books,Electronics,Yes
C0713,Electronics,Books,Yes
C0714,Electronics,Books,Yes
C0715,Home,Books,Yes
C0716,Home,Books,Yes
C0717,Home,Electronics,Yes
C0718,Electronics,Home,Yes
C0719,Clothing,Clothing,No
C0720,Books,Home,Yes
C0721,Books,Electronics,Yes
C0722,Electronics,Clothing,Yes
C0723,Books,Clothing,Yes
C0724,Electronics,Home,Yes
C0725,Books,Books,No
C0726,Home,Electronics,Yes
C0727,Books,Clothing,Yes
C0728,Clothing,Books,Yes
C0729,Electronics,Clothing,Yes
C0730,Electronics,Books,Yes
C0731,Books,Electronics,Yes
C0732,Clothing,Clothing,No
C0733,Home,Electronics,Yes
C0734,Electronics,Electronics,No
C0735,Electronics,Home,Yes
C0736,Clothing,Home,Yes
C0737,Electronics,Electronics,No
C0738,Home,Electronics,Yes
C0739,Clothing,Electronics,Yes
C0740,Clothing,Clothing,No
C0743,Home,Books,Yes
C0744,Books,Home,Yes
C0745,Clothing,Electronics,Yes
C0746,Home,Home,No
C0747,Home,Home,No
C0750,Books,Clothing,Yes
C0751,Home,Clothing,Yes
C0752,Clothing,Books,Yes
C0753,Electronics,Home,Yes
C0754,Electronics,Electronics,No
C0755,Home,Clothing,Yes
C0756,Clothing,Books,Yes
C0757,Books,Books,No
C0758,Books,Books,No
C0759,Electronics,Clothing,Yes
C0760,Books,Books,No
C0761,Home,Books,Yes
C0762,Clothing,Home,Yes
C0763,Books,Clothing,Yes
C0766,Books,Electronics,Yes
C0767,Books,Books,No
C0768,Electronics,Home,Yes
C0769,Home,Electronics,Yes
C0770,Electronics,Books,Yes
C0771,Electronics,Home,Yes
C0772,Books,Home,Yes
C0773,Books,Books,No
C0774,Clothing,Home,Yes
C0775,Clothing,Clothing,No
C0776,Books,Clothing,Yes
C0777,Clothing,Books,Yes
C0778,Electronics,Home,Yes
C0779,Books,Clothing,Yes
C0780,Home,Electronics,Yes
C0781,Clothing,Clothing,No
C0782,Books,Clothing,Yes
C0783,Electronics,Books,Yes
C0784,Home,Home,No
C0785,Home,Home,No
C0786,Electronics,Home,Yes
C0787,Electronics,Clothing,Yes
C0788,Electronics,Books,Yes
C0789,Electronics,Books,Yes
C0790,Electronics,Electronics,No
C0791,Clothing,Books,Yes
C0792,Home,Home,No
C0793,Home,Clothing,Yes
C0795,Home,Clothing,Yes
C0796,Home,Home,No
C0797,Home,Home,No
C0798,Electronics,Electronics,No
C0799,Electronics,Electronics,No
C0800,Clothing,Clothing,No
