customer_id,total_value,quartile,quartile_label
C0334,15155.56,1,Platinum
C0548,14970.95,1,Platinum
C0587,14966.56,1,Platinum
C0595,14963.92,1,Platinum
C0134,14851.5,1,Platinum
C0547,14645.72,1,Platinum
C0544,14579.01,1,Platinum
C0109,14529.63,1,Platinum
C0237,14455.73,1,Platinum
C0575,14433.67,1,Platinum
C0744,14352.22,1,Platinum
C0493,14331.65,1,Platinum
C0626,14307.69,1,Platinum
C0539,14297.9,1,Platinum
C0337,14280.79,1,Platinum
C0429,14274.29,1,Platinum
C0506,14231.89,1,Platinum
C0381,14176.42,1,Platinum
C0292,14149.02,2,Gold
C0184,14087.19,2,Gold
C0763,14000.15,2,Gold
C0531,13969.06,2,Gold
C0419,13948.56,2,Gold
C0127,13945.72,2,Gold
C0422,13928.6,2,Gold
C0128,13892.52,2,Gold
C0321,13880.74,2,Gold
C0079,13804.51,2,Gold
C0159,13788.46,2,Gold
C0192,13745.59,2,Gold
C0671,13717.13,2,Gold
C0030,13683.95,2,Gold
C0136,13658.53,2,Gold
C0606,13624.69,2,Gold
C0702,13595.29,2,Gold
C0543,13592.42,2,Gold
C0011,13582.16,2,Gold
C0464,13580.21,2,Gold
C0524,13547.62,2,Gold
C0672,13536.36,2,Gold
C0238,13484.48,2,Gold
C0782,13452.61,2,Gold
C0533,13443.0,2,Gold
C0618,13423.58,2,Gold
C0400,13367.71,2,Gold
C0378,13262.39,2,Gold
C0499,13257.39,2,Gold
C0098,13253.73,2,Gold
C0440,13225.94,2,Gold
C0462,13221.4,2,Gold
C0557,13162.43,2,Gold
C0605,13084.79,2,Gold
C0735,13054.97,2,Gold
C0281,12995.9,2,Gold
C0066,12991.7,2,Gold
C0425,12943.43,2,Gold
C0171,12923.9,2,Gold
C0636,12905.06,2,Gold
C0033,12873.65,2,Gold
C0143,12853.25,2,Gold
C0496,12839.13,2,Gold
C0353,12834.96,2,Gold
C0426,12687.4,2,Gold
C0733,12682.82,2,Gold
C0345,12668.31,2,Gold
C0704,12660.01,2,Gold
C0632,12652.17,2,Gold
C0133,12636.69,2,Gold
C0687,12496.5,2,Gold
C0508,12482.09,2,Gold
C0670,12438.12,2,Gold
C0215,12416.89,2,Gold
C0254,12380.04,2,Gold
C0523,12361.35,2,Gold
C0060,12352.6,2,Gold
C0090,12329.45,2,Gold
C0388,12261.52,2,Gold
C0387,12223.97,2,Gold
C0473,12207.81,2,Gold
C0430,12203.02,2,Gold
C0042,12157.17,2,Gold
C0435,12128.5,2,Gold
C0484,12117.75,2,Gold
C0320,12112.01,2,Gold
C0465,12076.89,2,Gold
C0755,12072.57,2,Gold
C0656,11972.12,2,Gold
C0200,11970.91,2,Gold
C0500,11957.81,2,Gold
C0734,11954.99,2,Gold
C0407,11888.94,2,Gold
C0348,11880.05,2,Gold
C0625,11874.65,2,Gold
C0350,11874.23,2,Gold
C0315,11863.74,2,Gold
C0795,11850.1,2,Gold
C0048,11803.27,2,Gold
C0456,11774.89,2,Gold
C0690,11712.11,2,Gold
C0103,11708.37,2,Gold
C0228,11629.81,2,Gold
C0718,11606.66,2,Gold
C0408,11594.87,2,Gold
C0393,11531.2,2,Gold
C0288,11499.44,2,Gold
C0044,11416.64,2,Gold
C0604,11319.05,2,Gold
C0629,11307.99,2,Gold
C0768,11226.67,2,Gold
C0535,11180.13,2,Gold
C0190,11150.95,2,Gold
C0391,11100.77,2,Gold
C0251,11061.37,2,Gold
C0576,11047.66,2,Gold
C0218,11019.49,2,Gold
C0607,10989.38,2,Gold
C0194,10988.28,2,Gold
C0525,10954.06,2,Gold
C0598,10874.79,2,Gold
C0565,10863.48,2,Gold
C0178,10861.8,2,Gold
C0272,10840.65,2,Gold
C0700,10821.54,2,Gold
C0736,10804.75,2,Gold
C0712,10756.21,2,Gold
C0767,10713.31,2,Gold
C0130,10657.65,2,Gold
C0326,10596.29,2,Gold
C0707,10533.22,2,Gold
C0373,10441.55,2,Gold
C0285,10418.71,2,Gold
C0668,10401.01,2,Gold
C0586,10389.12,2,Gold
C0776,10327.33,2,Gold
C0527,10321.53,2,Gold
C0762,10271.38,2,Gold
C0322,10271.05,2,Gold
C0283,10251.28,2,Gold
C0357,10250.34,2,Gold
C0696,10213.51,2,Gold
C0654,10173.17,2,Gold
C0361,10145.46,2,Gold
C0231,10142.54,2,Gold
C0047,10123.14,2,Gold
C0515,10107.98,2,Gold
C0540,10088.74,2,Gold
C0220,10040.0,2,Gold
C0414,10034.72,2,Gold
C0655,10020.4,2,Gold
C0196,10008.71,2,Gold
C0183,9948.19,2,Gold
C0221,9926.37,2,Gold
C0673,9925.91,2,Gold
C0063,9916.58,2,Gold
C0538,9907.79,2,Gold
C0753,9907.21,2,Gold
C0423,9879.83,2,Gold
C0777,9813.95,2,Gold
C0148,9806.24,2,Gold
C0600,9791.44,2,Gold
C0360,9732.4,2,Gold
C0157,9728.33,2,Gold
C0240,9720.1,2,Gold
C0149,9663.28,2,Gold
C0693,9626.69,2,Gold
C0397,9613.57,2,Gold
C0224,9585.83,2,Gold
C0273,9526.16,2,Gold
C0797,9465.8,2,Gold
C0633,9405.33,2,Gold
C0445,9312.0,2,Gold
C0597,9299.95,2,Gold
C0384,9281.34,2,Gold
C0482,9262.96,2,Gold
C0554,9220.04,2,Gold
C0253,9210.39,2,Gold
C0364,9159.03,2,Gold
C0771,9145.39,2,Gold
C0261,9127.0,2,Gold
C0708,9097.06,2,Gold
C0005,9082.95,2,Gold
C0021,9080.52,2,Gold
C0784,9080.44,2,Gold
C0012,8930.88,2,Gold
C0069,8923.31,2,Gold
C0233,8904.25,2,Gold
C0363,8900.86,2,Gold
C0010,8865.94,2,Gold
C0439,8820.59,2,Gold
C0466,8814.1,2,Gold
C0452,8751.41,2,Gold
C0621,8716.95,2,Gold
C0478,8609.62,2,Gold
C0299,8601.73,2,Gold
C0573,8584.3,2,Gold
C0519,8566.35,3,Silver
C0487,8565.29,3,Silver
C0222,8524.24,3,Silver
C0017,8500.7,3,Silver
C0757,8492.47,3,Silver
C0265,8398.1,3,Silver
C0724,8352.36,3,Silver
C0092,8326.25,3,Silver
C0075,8292.51,3,Silver
C0342,8286.43,3,Silver
C0038,8254.82,3,Silver
C0242,8205.73,3,Silver
C0062,8187.85,3,Silver
C0344,8103.46,3,Silver
C0020,8090.42,3,Silver
C0139,8082.98,3,Silver
C0150,8048.21,3,Silver
C0694,8005.24,3,Silver
C0191,7998.99,3,Silver
C0559,7997.22,3,Silver
C0561,7991.26,3,Silver
C0411,7940.84,3,Silver
C0509,7907.64,3,Silver
C0023,7895.2,3,Silver
C0187,7879.19,3,Silver
C0096,7868.07,3,Silver
C0142,7835.76,3,Silver
C0154,7823.09,3,Silver
C0511,7818.08,3,Silver
C0596,7811.3,3,Silver
C0774,7743.27,3,Silver
C0123,7737.71,3,Silver
C0193,7727.47,3,Silver
C0609,7687.71,3,Silver
C0555,7687.32,3,Silver
C0580,7672.52,3,Silver
C0546,7632.91,3,Silver
C0781,7630.61,3,Silver
C0460,7617.82,3,Silver
C0205,7601.15,3,Silver
C0039,7564.6,3,Silver
C0211,7552.51,3,Silver
C0206,7538.48,3,Silver
C0658,7512.32,3,Silver
C0710,7506.5,3,Silver
C0760,7474.35,3,Silver
C0603,7377.88,3,Silver
C0085,7368.0,3,Silver
C0732,7326.31,3,Silver
C0135,7304.15,3,Silver
C0467,7283.91,3,Silver
C0295,7283.08,3,Silver
C0250,7271.86,3,Silver
C0117,7179.07,3,Silver
C0306,7125.1,3,Silver
C0691,7116.52,3,Silver
C0053,7116.37,3,Silver
C0542,7099.68,3,Silver
C0341,7088.27,3,Silver
C0588,7081.88,3,Silver
C0385,7069.66,3,Silver
C0476,7046.12,3,Silver
C0666,7034.26,3,Silver
C0152,7019.04,3,Silver
C0583,7003.26,3,Silver
C0305,6998.67,3,Silver
C0475,6991.03,3,Silver
C0140,6928.84,3,Silver
C0453,6897.3,3,Silver
C0646,6889.28,3,Silver
C0161,6884.93,3,Silver
C0349,6882.16,3,Silver
C0560,6861.44,3,Silver
C0657,6796.12,3,Silver
C0446,6759.98,3,Silver
C0581,6722.0,3,Silver
C0550,6721.95,3,Silver
C0014,6688.72,3,Silver
C0164,6682.9,3,Silver
C0637,6666.18,3,Silver
C0174,6650.89,3,Silver
C0470,6596.64,3,Silver
C0558,6578.01,3,Silver
C0153,6575.51,3,Silver
C0553,6473.01,3,Silver
C0163,6467.19,3,Silver
C0728,6461.22,3,Silver
C0713,6453.91,3,Silver
C0026,6448.44,3,Silver
C0698,6405.14,3,Silver
C0723,6392.84,3,Silver
C0775,6333.73,3,Silver
C0415,6330.36,3,Silver
C0234,6319.71,3,Silver
C0683,6302.77,3,Silver
C0692,6270.57,3,Silver
C0314,6262.87,3,Silver
C0783,6259.95,3,Silver
C0395,6234.66,3,Silver
C0277,6195.37,3,Silver
C0374,6193.87,3,Silver
C0589,6192.94,3,Silver
C0503,6158.17,3,Silver
C0001,6143.99,3,Silver
C0409,6140.29,3,Silver
C0255,6131.36,3,Silver
C0568,6120.56,3,Silver
C0365,6105.98,3,Silver
C0043,6092.75,3,Silver
C0390,6087.26,3,Silver
C0325,6074.76,3,Silver
C0389,6071.38,3,Silver
C0489,6053.97,3,Silver
C0758,6029.0,3,Silver
C0083,6009.26,3,Silver
C0582,5991.46,3,Silver
C0055,5977.51,3,Silver
C0759,5921.18,3,Silver
C0681,5913.12,3,Silver
C0227,5899.54,3,Silver
C0015,5839.89,3,Silver
C0271,5807.29,3,Silver
C0507,5733.0,3,Silver
C0006,5705.23,3,Silver
C0167,5651.66,3,Silver
C0688,5596.4,3,Silver
C0328,5589.23,3,Silver
C0754,5557.79,3,Silver
C0676,5548.1,3,Silver
C0695,5525.79,3,Silver
C0447,5523.6,3,Silver
C0004,5482.14,3,Silver
C0376,5472.27,3,Silver
C0339,5415.9,3,Silver
C0368,5407.6,3,Silver
C0246,5388.56,3,Silver
C0036,5360.21,3,Silver
C0008,5356.42,3,Silver
C0316,5329.68,3,Silver
C0027,5324.59,3,Silver
C0208,5314.34,3,Silver
C0180,5302.51,3,Silver
C0256,5301.33,3,Silver
C0199,5299.96,3,Silver
C0124,5270.58,3,Silver
C0054,5261.82,3,Silver
C0239,5217.94,3,Silver
C0203,5214.3,3,Silver
C0144,5210.43,3,Silver
C0634,5188.68,3,Silver
C0450,5184.51,3,Silver
C0392,5167.84,3,Silver
C0323,5135.64,3,Silver
C0787,5093.43,3,Silver
C0212,5084.99,3,Silver
C0402,5063.14,3,Silver
C0642,5044.51,3,Silver
C0082,5031.41,3,Silver
C0286,5028.24,3,Silver
C0624,4990.34,3,Silver
C0406,4985.58,3,Silver
C0338,4979.84,3,Silver
C0720,4971.68,3,Silver
C0630,4897.92,3,Silver
C0567,4882.18,3,Silver
C0635,4866.73,3,Silver
C0711,4811.05,3,Silver
C0659,4810.4,3,Silver
C0731,4788.98,3,Silver
C0424,4766.47,3,Silver
C0284,4758.28,3,Silver
C0257,4727.01,3,Silver
C0280,4726.85,3,Silver
C0125,4698.53,3,Silver
C0717,4677.5,3,Silver
C0490,4619.53,3,Silver
C0405,4586.16,3,Silver
C0641,4575.72,4,Bronze
C0327,4534.69,4,Bronze
C0455,4497.27,4,Bronze
C0469,4462.53,4,Bronze
C0019,4451.33,4,Bronze
C0614,4440.87,4,Bronze
C0050,4388.08,4,Bronze
C0287,4376.85,4,Bronze
C0562,4365.48,4,Bronze
C0773,4363.2,4,Bronze
C0310,4355.77,4,Bronze
C0706,4336.5,4,Bronze
C0486,4304.81,4,Bronze
C0443,4266.74,4,Bronze
C0112,4266.56,4,Bronze
C0631,4260.68,4,Bronze
C0537,4234.22,4,Bronze
C0137,4227.94,4,Bronze
C0168,4213.94,4,Bronze
C0584,4210.34,4,Bronze
C0721,4151.18,4,Bronze
C0068,4112.31,4,Bronze
C0684,4015.13,4,Bronze
C0162,3959.85,4,Bronze
C0022,3910.1,4,Bronze
C0121,3851.05,4,Bronze
C0170,3807.59,4,Bronze
C0639,3796.29,4,Bronze
C0448,3782.45,4,Bronze
C0072,3764.84,4,Bronze
C0649,3723.88,4,Bronze
C0738,3714.43,4,Bronze
C0458,3631.88,4,Bronze
C0040,3583.08,4,Bronze
C0346,3580.09,4,Bronze
C0032,3562.39,4,Bronze
C0442,3546.26,4,Bronze
C0122,3545.68,4,Bronze
C0752,3533.89,4,Bronze
C0510,3503.06,4,Bronze
C0434,3450.3,4,Bronze
C0522,3350.09,4,Bronze
C0296,3317.99,4,Bronze
C0492,3301.07,4,Bronze
C0382,3280.06,4,Bronze
C0494,3251.62,4,Bronze
C0274,3237.96,4,Bronze
C0667,3177.56,4,Bronze
C0275,3138.18,4,Bronze
C0138,3137.76,4,Bronze
C0703,3085.29,4,Bronze
C0526,3011.82,4,Bronze
C0678,2982.17,4,Bronze
C0126,2940.66,4,Bronze
C0269,2929.54,4,Bronze
C0358,2889.52,4,Bronze
C0520,2849.12,4,Bronze
C0791,2842.04,4,Bronze
C0268,2821.02,4,Bronze
C0207,2816.41,4,Bronze
C0529,2693.35,4,Bronze
C0743,2560.74,4,Bronze
C0367,2555.44,4,Bronze
C0612,2551.61,4,Bronze
C0438,2535.77,4,Bronze
C0798,2519.98,4,Bronze
C0647,2466.18,4,Bronze
C0513,2425.39,4,Bronze
C0652,2402.58,4,Bronze
C0792,2401.75,4,Bronze
C0617,2396.76,4,Bronze
C0599,2395.08,4,Bronze
C0172,2380.38,4,Bronze
C0078,2377.48,4,Bronze
C0437,2376.6,4,Bronze
C0158,2359.58,4,Bronze
C0114,2272.64,4,Bronze
C0488,2226.58,4,Bronze
C0209,2212.52,4,Bronze
C0709,2211.62,4,Bronze
C0057,2167.06,4,Bronze
C0105,2165.23,4,Bronze
C0244,2107.55,4,Bronze
C0179,2064.11,4,Bronze
C0594,2053.04,4,Bronze
C0059,2032.79,4,Bronze
C0585,2028.62,4,Bronze
C0772,1977.6,4,Bronze
C0380,1972.93,4,Bronze
C0308,1972.07,4,Bronze
C0536,1934.68,4,Bronze
C0786,1835.6,4,Bronze
C0101,1833.0,4,Bronze
C0471,1823.67,4,Bronze
C0087,1820.36,4,Bronze
C0102,1810.85,4,Bronze
C0118,1793.43,4,Bronze
C0477,1715.76,4,Bronze
C0454,1713.14,4,Bronze
C0551,1704.22,4,Bronze
C0372,1689.63,4,Bronze
C0219,1659.08,4,Bronze
C0644,1619.48,4,Bronze
C0258,1604.09,4,Bronze
C0195,1596.48,4,Bronze
C0514,1578.99,4,Bronze
C0354,1571.37,4,Bronze
C0796,1565.82,4,Bronze
C0217,1489.87,4,Bronze
C0610,1485.14,4,Bronze
C0504,1467.04,4,Bronze
C0064,1443.69,4,Bronze
C0436,1411.82,4,Bronze
C0330,1401.44,4,Bronze
C0799,1373.22,4,Bronze
C0243,1358.85,4,Bronze
C0579,1324.46,4,Bronze
C0530,1316.62,4,Bronze
C0545,1309.13,4,Bronze
C0201,1272.81,4,Bronze
C0517,1249.54,4,Bronze
C0563,1244.04,4,Bronze
C0737,1241.12,4,Bronze
C0204,1226.99,4,Bronze
C0697,1209.72,4,Bronze
C0451,1202.93,4,Bronze
C0260,1190.7,4,Bronze
C0474,1188.96,4,Bronze
C0034,1185.27,4,Bronze
C0106,1185.27,4,Bronze
C0602,1170.12,4,Bronze
C0577,1169.96,4,Bronze
C0800,1117.62,4,Bronze
C0151,1082.69,4,Bronze
C0065,1046.4,4,Bronze
C0750,1030.19,4,Bronze
C0311,1025.82,4,Bronze
C0441,1003.57,4,Bronze
C0593,1002.67,4,Bronze
C0790,955.13,4,Bronze
C0181,937.03,4,Bronze
C0746,935.66,4,Bronze
C0169,900.8,4,Bronze
C0682,879.26,4,Bronze
C0282,875.08,4,Bronze
C0619,858.87,4,Bronze
C0073,721.86,4,Bronze
C0074,658.75,4,Bronze
C0747,584.42,4,Bronze
C0719,556.1,4,Bronze
C0095,551.3,4,Bronze
C0766,459.99,4,Bronze
C0120,442.06,4,Bronze
C0177,428.3,4,Bronze
C0578,317.3,4,Bronze
C0463,316.82,4,Bronze
C0480,272.2,4,Bronze
C0094,254.98,4,Bronze
C0301,242.69,4,Bronze
C0459,193.62,4,Bronze
C0556,183.73,4,Bronze
C0356,136.94,4,Bronze
C0270,64.99,4,Bronze
C0740,62.65,4,Bronze
C0417,36.13,4,Bronze
C0061,0.0,4,Bronze
C0198,-270.0,4,Bronze
C0309,-1024.71,4,Bronze
C0468,-1346.23,4,Bronze
C0512,-1365.07,4,Bronze
C0129,-1710.55,4,Bronze
C0518,-2200.3,4,Bronze
C0770,-2726.51,4,Bronze
C0779,-3292.97,4,Bronze
C0236,-3437.29,4,Bronze
C0359,-4092.64,4,Bronze
C0155,-5171.61,4,Bronze
