customer_id,revenue,cumulative_revenue,cumulative_percent,customer_percentile
C0534,16095.05,3178640.32,44.06,20.17
C0483,16087.72,3194728.04,44.29,20.31
C0081,15927.84,3210655.88,44.51,20.45
C0620,15903.42,3226559.29,44.73,20.59
C0313,15885.31,3242444.6,44.95,20.73
C0601,15762.57,3258207.17,45.17,20.87
C0317,15744.34,3273951.51,45.38,21.02
C0572,15741.02,3289692.53,45.6,21.16
C0185,15708.44,3305400.97,45.82,21.3
C0245,15650.18,3321051.16,46.04,21.44
C0785,15628.54,3336679.7,46.25,21.58
C0312,15464.35,3352144.05,46.47,21.72
C0739,15426.42,3367570.48,46.68,21.86
C0751,15414.55,3382985.03,46.9,22.0
C0501,15394.1,3398379.13,47.11,22.14
C0370,15383.76,3413762.89,47.32,22.28
C0262,15243.57,3429006.47,47.53,22.43
C0608,15186.99,3444193.46,47.74,22.57
C0334,15155.56,3459349.02,47.95,22.71
C0548,14970.95,3474319.98,48.16,22.85
C0587,14966.56,3489286.54,48.37,22.99
C0595,14963.92,3504250.46,48.58,23.13
C0134,14851.5,3519101.96,48.78,23.27
C0547,14645.72,3533747.69,48.99,23.41
C0544,14579.01,3548326.7,49.19,23.55
C0109,14529.63,3562856.33,49.39,23.7
C0237,14455.73,3577312.06,49.59,23.84
C0575,14433.67,3591745.73,49.79,23.98
C0744,14352.22,3606097.94,49.99,24.12
C0493,14331.65,3620429.59,50.19,24.26
C0626,14307.69,3634737.28,50.39,24.4
C0539,14297.9,3649035.18,50.58,24.54
C0337,14280.79,3663315.97,50.78,24.68
C0429,14274.29,3677590.26,50.98,24.82
C0506,14231.89,3691822.15,51.18,24.96
C0381,14176.42,3705998.57,51.37,25.11
C0292,14149.02,3720147.6,51.57,25.25
C0184,14087.19,3734234.79,51.76,25.39
C0763,14000.15,3748234.94,51.96,25.53
C0531,13969.06,3762204.0,52.15,25.67
C0419,13948.56,3776152.56,52.35,25.81
C0127,13945.72,3790098.28,52.54,25.95
C0422,13928.6,3804026.88,52.73,26.09
C0128,13892.52,3817919.4,52.92,26.23
C0321,13880.74,3831800.13,53.12,26.38
C0079,13804.51,3845604.64,53.31,26.52
C0159,13788.46,3859393.11,53.5,26.66
C0192,13745.59,3873138.7,53.69,26.8
C0671,13717.13,3886855.83,53.88,26.94
C0030,13683.95,3900539.78,54.07,27.08
C0136,13658.53,3914198.31,54.26,27.22
C0606,13624.69,3927823.0,54.45,27.36
C0702,13595.29,3941418.3,54.64,27.5
C0543,13592.42,3955010.72,54.83,27.64
C0011,13582.16,3968592.88,55.01,27.79
C0464,13580.21,3982173.09,55.2,27.93
C0524,13547.62,3995720.72,55.39,28.07
C0672,13536.36,4009257.08,55.58,28.21
C0238,13484.48,4022741.56,55.76,28.35
C0782,13452.61,4036194.17,55.95,28.49
C0533,13443.0,4049637.17,56.14,28.63
C0618,13423.58,4063060.75,56.32,28.77
C0400,13367.71,4076428.46,56.51,28.91
C0378,13262.39,4089690.85,56.69,29.06
C0499,13257.39,4102948.24,56.88,29.2
C0098,13253.73,4116201.97,57.06,29.34
C0440,13225.94,4129427.91,57.24,29.48
C0462,13221.4,4142649.31,57.43,29.62
C0557,13162.43,4155811.74,57.61,29.76
C0605,13084.79,4168896.53,57.79,29.9
C0735,13054.97,4181951.49,57.97,30.04
C0281,12995.9,4194947.39,58.15,30.18
C0066,12991.7,4207939.09,58.33,30.32
C0425,12943.43,4220882.53,58.51,30.47
C0171,12923.9,4233806.43,58.69,30.61
C0636,12905.06,4246711.49,58.87,30.75
C0033,12873.65,4259585.14,59.05,30.89
C0143,12853.25,4272438.38,59.23,31.03
C0496,12839.13,4285277.52,59.4,31.17
C0353,12834.96,4298112.47,59.58,31.31
C0426,12687.4,4310799.88,59.76,31.45
C0733,12682.82,4323482.7,59.93,31.59
C0345,12668.31,4336151.01,60.11,31.73
C0704,12660.01,4348811.01,60.28,31.88
C0632,12652.17,4361463.18,60.46,32.02
C0133,12636.69,4374099.87,60.63,32.16
C0687,12496.5,4386596.37,60.81,32.3
C0508,12482.09,4399078.46,60.98,32.44
C0670,12438.12,4411516.59,61.15,32.58
C0215,12416.89,4423933.48,61.33,32.72
C0254,12380.04,4436313.52,61.5,32.86
C0523,12361.35,4448674.86,61.67,33.0
C0060,12352.6,4461027.46,61.84,33.15
C0090,12329.45,4473356.92,62.01,33.29
C0388,12261.52,4485618.44,62.18,33.43
C0387,12223.97,4497842.41,62.35,33.57
C0473,12207.81,4510050.22,62.52,33.71
C0430,12203.02,4522253.24,62.69,33.85
C0042,12157.17,4534410.4,62.86,33.99
C0435,12128.5,4546538.9,63.03,34.13
C0484,12117.75,4558656.65,63.19,34.27
C0320,12112.01,4570768.67,63.36,34.41
C0465,12076.89,4582845.56,63.53,34.56
C0755,12072.57,4594918.13,63.7,34.7
C0656,11972.12,4606890.24,63.86,34.84
C0200,11970.91,4618861.15,64.03,34.98
C0500,11957.81,4630818.96,64.19,35.12
C0734,11954.99,4642773.95,64.36,35.26
C0407,11888.94,4654662.9,64.52,35.4
C0348,11880.05,4666542.94,64.69,35.54
C0625,11874.65,4678417.59,64.85,35.68
C0350,11874.23,4690291.82,65.02,35.83
C0315,11863.74,4702155.56,65.18,35.97
C0795,11850.1,4714005.66,65.35,36.11
C0048,11803.27,4725808.93,65.51,36.25
C0456,11774.89,4737583.81,65.67,36.39
C0690,11712.11,4749295.92,65.84,36.53
C0103,11708.37,4761004.29,66.0,36.67
C0228,11629.81,4772634.1,66.16,36.81
C0718,11606.66,4784240.76,66.32,36.95
C0408,11594.87,4795835.63,66.48,37.09
C0393,11531.2,4807366.83,66.64,37.24
C0288,11499.44,4818866.28,66.8,37.38
C0044,11416.64,4830282.92,66.96,37.52
C0604,11319.05,4841601.97,67.12,37.66
C0629,11307.99,4852909.96,67.27,37.8
C0768,11226.67,4864136.63,67.43,37.94
C0535,11180.13,4875316.77,67.58,38.08
C0190,11150.95,4886467.72,67.74,38.22
C0391,11100.77,4897568.48,67.89,38.36
C0251,11061.37,4908629.85,68.04,38.5
C0576,11047.66,4919677.51,68.2,38.65
C0218,11019.49,4930697.0,68.35,38.79
C0607,10989.38,4941686.38,68.5,38.93
C0194,10988.28,4952674.66,68.66,39.07
C0525,10954.06,4963628.72,68.81,39.21
C0598,10874.79,4974503.51,68.96,39.35
C0565,10863.48,4985367.0,69.11,39.49
C0178,10861.8,4996228.79,69.26,39.63
C0272,10840.65,5007069.44,69.41,39.77
C0700,10821.54,5017890.99,69.56,39.92
C0736,10804.75,5028695.74,69.71,40.06
C0712,10756.21,5039451.95,69.86,40.2
C0767,10713.31,5050165.26,70.01,40.34
C0130,10657.65,5060822.91,70.15,40.48
C0326,10596.29,5071419.2,70.3,40.62
C0707,10533.22,5081952.42,70.45,40.76
C0373,10441.55,5092393.97,70.59,40.9
C0285,10418.71,5102812.68,70.74,41.04
C0668,10401.01,5113213.7,70.88,41.18
C0586,10389.12,5123602.82,71.02,41.33
C0776,10327.33,5133930.14,71.17,41.47
C0527,10321.53,5144251.68,71.31,41.61
C0762,10271.38,5154523.06,71.45,41.75
C0322,10271.05,5164794.11,71.6,41.89
C0283,10251.28,5175045.39,71.74,42.03
C0357,10250.34,5185295.73,71.88,42.17
C0696,10213.51,5195509.24,72.02,42.31
C0654,10173.17,5205682.41,72.16,42.45
C0361,10145.46,5215827.87,72.3,42.6
C0231,10142.54,5225970.4,72.44,42.74
C0047,10123.14,5236093.54,72.58,42.88
C0515,10107.98,5246201.52,72.72,43.02
C0540,10088.74,5256290.26,72.86,43.16
C0220,10040.0,5266330.27,73.0,43.3
C0414,10034.72,5276364.98,73.14,43.44
C0655,10020.4,5286385.39,73.28,43.58
C0196,10008.71,5296394.1,73.42,43.72
C0183,9948.19,5306342.29,73.56,43.86
C0221,9926.37,5316268.66,73.7,44.01
C0673,9925.91,5326194.57,73.83,44.15
C0063,9916.58,5336111.15,73.97,44.29
C0538,9907.79,5346018.94,74.11,44.43
C0753,9907.21,5355926.15,74.25,44.57
C0423,9879.83,5365805.98,74.38,44.71
C0777,9813.95,5375619.94,74.52,44.85
C0148,9806.24,5385426.18,74.65,44.99
C0600,9791.44,5395217.63,74.79,45.13
C0360,9732.4,5404950.02,74.92,45.28
C0157,9728.33,5414678.35,75.06,45.42
C0240,9720.1,5424398.45,75.19,45.56
C0149,9663.28,5434061.73,75.33,45.7
C0693,9626.69,5443688.43,75.46,45.84
C0397,9613.57,5453301.99,75.6,45.98
C0224,9585.83,5462887.82,75.73,46.12
C0273,9526.16,5472413.98,75.86,46.26
C0797,9465.8,5481879.79,75.99,46.4
C0633,9405.33,5491285.11,76.12,46.54
C0445,9312.0,5500597.12,76.25,46.69
C0597,9299.95,5509897.07,76.38,46.83
C0384,9281.34,5519178.41,76.51,46.97
C0482,9262.96,5528441.37,76.64,47.11
C0554,9220.04,5537661.41,76.76,47.25
C0253,9210.39,5546871.79,76.89,47.39
C0364,9159.03,5556030.82,77.02,47.53
C0771,9145.39,5565176.21,77.15,47.67
C0261,9127.0,5574303.2,77.27,47.81
C0708,9097.06,5583400.26,77.4,47.95
C0005,9082.95,5592483.21,77.52,48.1
C0021,9080.52,5601563.73,77.65,48.24
C0784,9080.44,5610644.16,77.78,48.38
C0012,8930.88,5619575.04,77.9,48.52
C0069,8923.31,5628498.36,78.02,48.66
C0233,8904.25,5637402.61,78.15,48.8
C0363,8900.86,5646303.47,78.27,48.94
C0010,8865.94,5655169.41,78.39,49.08
C0439,8820.59,5663990.0,78.52,49.22
C0466,8814.1,5672804.1,78.64,49.37
C0452,8751.41,5681555.51,78.76,49.51
C0621,8716.95,5690272.45,78.88,49.65
C0478,8609.62,5698882.07,79.0,49.79
C0299,8601.73,5707483.8,79.12,49.93
C0573,8584.3,5716068.1,79.24,50.07
C0519,8566.35,5724634.45,79.36,50.21
C0487,8565.29,5733199.74,79.48,50.35
C0222,8524.24,5741723.99,79.59,50.49
C0017,8500.7,5750224.69,79.71,50.63
C0757,8492.47,5758717.16,79.83,50.78
C0265,8398.1,5767115.26,79.95,50.92
C0724,8352.36,5775467.62,80.06,51.06
C0092,8326.25,5783793.87,80.18,51.2
C0075,8292.51,5792086.38,80.29,51.34
C0342,8286.43,5800372.8,80.41,51.48
C0038,8254.82,5808627.62,80.52,51.62
C0242,8205.73,5816833.36,80.63,51.76
C0062,8187.85,5825021.21,80.75,51.9
C0344,8103.46,5833124.67,80.86,52.05
C0020,8090.42,5841215.09,80.97,52.19
C0139,8082.98,5849298.07,81.08,52.33
C0150,8048.21,5857346.29,81.2,52.47
C0694,8005.24,5865351.53,81.31,52.61
C0191,7998.99,5873350.52,81.42,52.75
C0559,7997.22,5881347.73,81.53,52.89
C0561,7991.26,5889339.0,81.64,53.03
C0411,7940.84,5897279.84,81.75,53.17
C0509,7907.64,5905187.49,81.86,53.31
C0023,7895.2,5913082.68,81.97,53.46
C0187,7879.19,5920961.87,82.08,53.6
C0096,7868.07,5928829.95,82.19,53.74
C0142,7835.76,5936665.71,82.3,53.88
C0154,7823.09,5944488.79,82.4,54.02
C0511,7818.08,5952306.87,82.51,54.16
C0596,7811.3,5960118.18,82.62,54.3
C0774,7743.27,5967861.45,82.73,54.44
C0123,7737.71,5975599.15,82.84,54.58
C0193,7727.47,5983326.63,82.94,54.72
C0609,7687.71,5991014.33,83.05,54.87
C0555,7687.32,5998701.65,83.16,55.01
C0580,7672.52,6006374.17,83.26,55.15
C0546,7632.91,6014007.08,83.37,55.29
C0781,7630.61,6021637.69,83.47,55.43
C0460,7617.82,6029255.51,83.58,55.57
C0205,7601.15,6036856.66,83.68,55.71
C0039,7564.6,6044421.26,83.79,55.85
C0211,7552.51,6051973.77,83.89,55.99
C0206,7538.48,6059512.25,84.0,56.14
C0658,7512.32,6067024.57,84.1,56.28
C0710,7506.5,6074531.07,84.21,56.42
C0760,7474.35,6082005.43,84.31,56.56
C0603,7377.88,6089383.3,84.41,56.7
C0085,7368.0,6096751.3,84.51,56.84
C0732,7326.31,6104077.6,84.62,56.98
C0135,7304.15,6111381.76,84.72,57.12
C0467,7283.91,6118665.67,84.82,57.26
C0295,7283.08,6125948.75,84.92,57.4
C0250,7271.86,6133220.6,85.02,57.55
C0117,7179.07,6140399.67,85.12,57.69
C0306,7125.1,6147524.77,85.22,57.83
C0691,7116.52,6154641.3,85.32,57.97
C0053,7116.37,6161757.67,85.42,58.11
C0542,7099.68,6168857.34,85.51,58.25
C0341,7088.27,6175945.61,85.61,58.39
C0588,7081.88,6183027.49,85.71,58.53
C0385,7069.66,6190097.15,85.81,58.67
C0476,7046.12,6197143.27,85.91,58.82
C0666,7034.26,6204177.53,86.0,58.96
C0152,7019.04,6211196.57,86.1,59.1
C0583,7003.26,6218199.83,86.2,59.24
C0305,6998.67,6225198.5,86.3,59.38
C0475,6991.03,6232189.54,86.39,59.52
C0140,6928.84,6239118.37,86.49,59.66
C0453,6897.3,6246015.67,86.58,59.8
C0646,6889.28,6252904.95,86.68,59.94
C0161,6884.93,6259789.88,86.77,60.08
C0349,6882.16,6266672.04,86.87,60.23
C0560,6861.44,6273533.48,86.97,60.37
C0657,6796.12,6280329.59,87.06,60.51
C0446,6759.98,6287089.58,87.15,60.65
C0581,6722.0,6293811.58,87.25,60.79
C0550,6721.95,6300533.53,87.34,60.93
C0014,6688.72,6307222.25,87.43,61.07
C0164,6682.9,6313905.15,87.52,61.21
C0637,6666.18,6320571.33,87.62,61.35
C0174,6650.89,6327222.23,87.71,61.5
C0470,6596.64,6333818.87,87.8,61.64
C0558,6578.01,6340396.87,87.89,61.78
C0153,6575.51,6346972.38,87.98,61.92
C0553,6473.01,6353445.39,88.07,62.06
C0163,6467.19,6359912.58,88.16,62.2
C0728,6461.22,6366373.81,88.25,62.34
C0713,6453.91,6372827.72,88.34,62.48
C0026,6448.44,6379276.16,88.43,62.62
C0698,6405.14,6385681.3,88.52,62.76
C0723,6392.84,6392074.14,88.61,62.91
C0775,6333.73,6398407.87,88.7,63.05
C0415,6330.36,6404738.23,88.78,63.19
C0234,6319.71,6411057.94,88.87,63.33
C0683,6302.77,6417360.71,88.96,63.47
C0692,6270.57,6423631.28,89.05,63.61
C0314,6262.87,6429894.15,89.13,63.75
C0783,6259.95,6436154.1,89.22,63.89
C0395,6234.66,6442388.77,89.31,64.03
C0277,6195.37,6448584.13,89.39,64.17
C0374,6193.87,6454778.01,89.48,64.32
C0589,6192.94,6460970.94,89.56,64.46
C0503,6158.17,6467129.11,89.65,64.6
C0001,6143.99,6473273.11,89.73,64.74
C0409,6140.29,6479413.4,89.82,64.88
C0255,6131.36,6485544.75,89.9,65.02
C0568,6120.56,6491665.32,89.99,65.16
C0365,6105.98,6497771.3,90.07,65.3
C0043,6092.75,6503864.04,90.16,65.44
C0390,6087.26,6509951.3,90.24,65.59
C0325,6074.76,6516026.06,90.33,65.73
C0389,6071.38,6522097.43,90.41,65.87
C0489,6053.97,6528151.41,90.49,66.01
C0758,6029.0,6534180.4,90.58,66.15
C0083,6009.26,6540189.67,90.66,66.29
C0582,5991.46,6546181.13,90.74,66.43
C0055,5977.51,6552158.63,90.83,66.57
C0759,5921.18,6558079.81,90.91,66.71
C0681,5913.12,6563992.93,90.99,66.85
C0227,5899.54,6569892.47,91.07,67.0
C0015,5839.89,6575732.35,91.15,67.14
C0271,5807.29,6581539.64,91.23,67.28
C0507,5733.0,6587272.64,91.31,67.42
C0006,5705.23,6592977.87,91.39,67.56
C0167,5651.66,6598629.54,91.47,67.7
C0688,5596.4,6604225.93,91.55,67.84
C0328,5589.23,6609815.17,91.63,67.98
C0754,5557.79,6615372.96,91.7,68.12
C0676,5548.1,6620921.06,91.78,68.27
C0695,5525.79,6626446.85,91.86,68.41
C0447,5523.6,6631970.45,91.93,68.55
C0004,5482.14,6637452.58,92.01,68.69
C0376,5472.27,6642924.85,92.09,68.83
C0339,5415.9,6648340.75,92.16,68.97
C0368,5407.6,6653748.36,92.24,69.11
C0246,5388.56,6659136.92,92.31,69.25
C0036,5360.21,6664497.13,92.38,69.39
C0008,5356.42,6669853.55,92.46,69.53
C0316,5329.68,6675183.23,92.53,69.68
C0027,5324.59,6680507.82,92.61,69.82
C0208,5314.34,6685822.16,92.68,69.96
C0180,5302.51,6691124.67,92.75,70.1
C0256,5301.33,6696426.0,92.83,70.24
C0199,5299.96,6701725.95,92.9,70.38
C0124,5270.58,6706996.54,92.97,70.52
C0054,5261.82,6712258.35,93.05,70.66
C0239,5217.94,6717476.29,93.12,70.8
C0203,5214.3,6722690.59,93.19,70.94
C0144,5210.43,6727901.02,93.26,71.09
C0634,5188.68,6733089.7,93.34,71.23
C0450,5184.51,6738274.2,93.41,71.37
C0392,5167.84,6743442.04,93.48,71.51
C0323,5135.64,6748577.67,93.55,71.65
C0787,5093.43,6753671.1,93.62,71.79
C0212,5084.99,6758756.09,93.69,71.93
C0402,5063.14,6763819.23,93.76,72.07
C0642,5044.51,6768863.74,93.83,72.21
C0082,5031.41,6773895.15,93.9,72.36
C0286,5028.24,6778923.38,93.97,72.5
C0624,4990.34,6783913.72,94.04,72.64
C0406,4985.58,6788899.31,94.11,72.78
C0338,4979.84,6793879.15,94.18,72.92
C0720,4971.68,6798850.83,94.25,73.06
C0630,4897.92,6803748.75,94.32,73.2
C0567,4882.18,6808630.93,94.38,73.34
C0635,4866.73,6813497.66,94.45,73.48
C0711,4811.05,6818308.71,94.52,73.62
C0659,4810.4,6823119.11,94.58,73.77
C0731,4788.98,6827908.09,94.65,73.91
C0424,4766.47,6832674.56,94.72,74.05
C0284,4758.28,6837432.85,94.78,74.19
C0257,4727.01,6842159.86,94.85,74.33
C0280,4726.85,6846886.7,94.91,74.47
C0125,4698.53,6851585.24,94.98,74.61
C0717,4677.5,6856262.74,95.04,74.75
C0490,4619.53,6860882.26,95.11,74.89
C0405,4586.16,6865468.42,95.17,75.04
C0641,4575.72,6870044.14,95.23,75.18
C0327,4534.69,6874578.83,95.3,75.32
C0455,4497.27,6879076.1,95.36,75.46
C0469,4462.53,6883538.63,95.42,75.6
C0019,4451.33,6887989.97,95.48,75.74
C0614,4440.87,6892430.83,95.54,75.88
C0050,4388.08,6896818.92,95.61,76.02
C0287,4376.85,6901195.76,95.67,76.16
C0562,4365.48,6905561.25,95.73,76.3
C0773,4363.2,6909924.45,95.79,76.45
C0310,4355.77,6914280.22,95.85,76.59
C0706,4336.5,6918616.72,95.91,76.73
C0486,4304.81,6922921.53,95.97,76.87
C0443,4266.74,6927188.28,96.03,77.01
C0112,4266.56,6931454.84,96.09,77.15
C0631,4260.68,6935715.52,96.14,77.29
C0537,4234.22,6939949.74,96.2,77.43
C0137,4227.94,6944177.68,96.26,77.57
C0168,4213.94,6948391.63,96.32,77.72
C0584,4210.34,6952601.97,96.38,77.86
C0721,4151.18,6956753.15,96.44,78.0
C0068,4112.31,6960865.46,96.49,78.14
C0684,4015.13,6964880.58,96.55,78.28
C0162,3959.85,6968840.43,96.6,78.42
C0022,3910.1,6972750.54,96.66,78.56
C0121,3851.05,6976601.59,96.71,78.7
C0170,3807.59,6980409.18,96.76,78.84
C0639,3796.29,6984205.47,96.82,78.98
C0448,3782.45,6987987.92,96.87,79.13
C0072,3764.84,6991752.76,96.92,79.27
C0649,3723.88,6995476.64,96.97,79.41
C0738,3714.43,6999191.07,97.02,79.55
C0458,3631.88,7002822.95,97.07,79.69
C0040,3583.08,7006406.04,97.12,79.83
C0346,3580.09,7009986.12,97.17,79.97
C0032,3562.39,7013548.51,97.22,80.11
C0442,3546.26,7017094.77,97.27,80.25
C0122,3545.68,7020640.45,97.32,80.39
C0752,3533.89,7024174.35,97.37,80.54
C0510,3503.06,7027677.41,97.42,80.68
C0434,3450.3,7031127.71,97.47,80.82
C0522,3350.09,7034477.79,97.51,80.96
C0296,3317.99,7037795.79,97.56,81.1
C0492,3301.07,7041096.85,97.61,81.24
C0382,3280.06,7044376.91,97.65,81.38
C0494,3251.62,7047628.53,97.7,81.52
C0274,3237.96,7050866.49,97.74,81.66
C0667,3177.56,7054044.05,97.78,81.81
C0275,3138.18,7057182.24,97.83,81.95
C0138,3137.76,7060320.0,97.87,82.09
C0703,3085.29,7063405.29,97.91,82.23
C0526,3011.82,7066417.11,97.96,82.37
C0678,2982.17,7069399.28,98.0,82.51
C0126,2940.66,7072339.94,98.04,82.65
C0269,2929.54,7075269.47,98.08,82.79
C0358,2889.52,7078158.99,98.12,82.93
C0520,2849.12,7081008.11,98.16,83.07
C0791,2842.04,7083850.15,98.2,83.22
C0268,2821.02,7086671.18,98.24,83.36
C0207,2816.41,7089487.58,98.28,83.5
C0529,2693.35,7092180.93,98.31,83.64
C0743,2560.74,7094741.67,98.35,83.78
C0367,2555.44,7097297.11,98.38,83.92
C0612,2551.61,7099848.72,98.42,84.06
C0438,2535.77,7102384.49,98.46,84.2
C0798,2519.98,7104904.46,98.49,84.34
C0647,2466.18,7107370.64,98.52,84.49
C0513,2425.39,7109796.04,98.56,84.63
C0652,2402.58,7112198.61,98.59,84.77
C0792,2401.75,7114600.36,98.62,84.91
C0617,2396.76,7116997.12,98.66,85.05
C0599,2395.08,7119392.2,98.69,85.19
C0172,2380.38,7121772.59,98.72,85.33
C0078,2377.48,7124150.06,98.76,85.47
C0437,2376.6,7126526.67,98.79,85.61
