product_id,product_name,category,region,priority,price,user_id
202,Scarf,Clothing,Central,Medium,417,4831
203,Net,Sports,South,Low,1424,3810
204,Desk,Furniture,North,Low,42261,6650
205,Desk,Furniture,North,Low,46891,1698
206,Laptop,Electronics,North,High,48832,9747
207,Keyboard,Electronics,North,Low,27828,1564
208,Camera,Electronics,West,Low,14026,4358
209,Glue,Stationery,East,Low,20,5630
210,Tablet,Electronics,East,Medium,67225,5712
211,Bat,Sports,West,Low,8647,6681
212,T-Shirt,Clothing,Central,Medium,944,5704
213,Cabinet,Furniture,North,Medium,20396,1884
214,Tablet,Electronics,West,Low,25385,6688
215,Net,Sports,Central,High,4798,4793
216,Jacket,Clothing,North,High,862,2713
217,Glue,Stationery,North,Low,212,2411
218,T-Shirt,Clothing,East,Low,2356,9928
219,Racket,Sports,West,High,3976,3078
220,Frisbee,Sports,Central,Medium,5859,9548
221,Stool,Furniture,Central,Medium,12611,5214
222,Helmet,Sports,South,Low,4048,5382
223,Highlighter,Stationery,South,Medium,136,9555
224,Stapler,Stationery,South,Low,106,2667
225,Chair,Furniture,South,Low,11220,5872
226,Cap,Clothing,South,Low,1075,7362
227,T-Shirt,Clothing,North,Low,3776,9199
228,Eraser,Stationery,North,Low,319,1090
229,Cabinet,Furniture,Central,Medium,43914,4744
230,Helmet,Sports,South,Medium,7586,5256
231,Keyboard,Electronics,South,Medium,21707,7939
232,Scarf,Clothing,North,Medium,3553,3999
233,Notebook,Stationery,West,High,474,1624
234,Ruler,Stationery,South,Low,410,4273
235,Dumbbell,Sports,North,High,7633,8794
236,Bat,Sports,East,Medium,6873,8486
237,Sofa,Furniture,West,Medium,9521,6824
238,Camera,Electronics,East,Low,9261,
239,Sweater,Clothing,East,Medium,1095,7561
240,Helmet,Sports,West,Low,2845,2128
241,Stool,Furniture,Central,Medium,11085,7771
242,Cap,Clothing,Central,Medium,4045,4775
243,Scissors,Stationery,East,High,357,1044
244,Glue,Stationery,South,Medium,174,8020
245,Ball,Sports,East,Low,5117,1934
246,Charger,Electronics,East,Medium,19602,6654
247,Bat,Sports,North,Low,1329,5096
248,Ball,Sports,Central,Low,3977,8404
249,Stapler,Stationery,South,High,415,2481
250,Net,Sports,South,Low,3641,8185
251,Speaker,Electronics,North,Low,31893,8753
252,Belt,Clothing,North,Low,1383,5039
253,Jacket,Clothing,Central,Medium,254,6254
254,Gloves,Clothing,West,Medium,4015,7861
255,Monitor,Electronics,East,Medium,4939,
256,Tablet,Electronics,North,Medium,64727,3367
257,Headphones,Electronics,West,Medium,45581,6999
258,Eraser,Stationery,Central,Medium,477,8130
259,Scissors,Stationery,East,Medium,433,6819
260,Sweater,Clothing,East,Medium,2425,6649
261,Stool,Furniture,North,Low,22281,3090
262,Ball,Sports,North,Low,6802,1814
263,Cap,Clothing,North,Low,1755,8783
264,Bat,Sports,Central,High,6311,2359
265,Desk,Furniture,West,Medium,12896,3970
266,Keyboard,Electronics,North,High,2959,3272
267,Ruler,Stationery,East,High,104,6217
268,Keyboard,Electronics,Central,Medium,8358,9554
269,Phone,Electronics,West,Medium,54238,1231
270,Gloves,Clothing,Central,High,5601,8789
271,Belt,Clothing,North,Low,4068,3486
272,Keyboard,Electronics,North,Low,17147,2444
273,Chair,Furniture,South,Low,19551,4969
274,Jacket,Clothing,North,Low,5892,2381
275,Ruler,Stationery,West,Low,487,1862
276,Laptop,Electronics,North,Low,11643,6119
277,Racket,Sports,West,Medium,5331,8188
278,Jacket,Clothing,South,High,1156,3687
279,Scarf,Clothing,West,Medium,3908,6470
280,Folder,Stationery,North,Medium,343,6440
281,Bat,Sports,South,Medium,5206,5032
282,Sweater,Clothing,West,Medium,2119,5641
283,Tablet,Electronics,East,Low,21815,1692
284,Stapler,Stationery,Central,Low,445,9975
285,Socks,Clothing,Central,Low,4735,7254
286,Bookshelf,Furniture,East,Medium,45911,4384
287,Highlighter,Stationery,North,Medium,245,9784
288,Pen,Stationery,South,Low,276,9550
289,Eraser,Stationery,Central,Medium,106,2510
290,Lamp,Furniture,East,Medium,25020,9474
291,Bookshelf,Furniture,North,High,33826,2738
292,Eraser,Stationery,North,Low,315,
293,Ruler,Stationery,Central,Low,27,8967
294,Frisbee,Sports,South,Low,4734,8321
295,Frisbee,Sports,South,Low,770,3961
296,Jeans,Clothing,North,Low,4766,8508
297,Jeans,Clothing,Central,Medium,1182,2473
298,Glue,Stationery,Central,Low,55,9298
299,Jacket,Clothing,West,High,3238,4632
300,Desk,Furniture,East,High,5384,1455
301,Camera,Electronics,Central,Medium,64563,
302,Table,Furniture,North,High,45860,8229
303,Mouse,Electronics,East,Low,52324,8885
304,Jacket,Clothing,West,Low,1372,1206
305,Shoes,Clothing,North,Low,2006,
306,Dumbbell,Sports,South,Medium,1739,7309
307,Phone,Electronics,West,High,43479,8823
308,Tablet,Electronics,South,Low,8635,8395
309,Racket,Sports,West,High,4514,5042
310,Desk,Furniture,East,Medium,20934,3749
311,Eraser,Stationery,North,Low,472,3512
312,Bat,Sports,South,Medium,4839,4303
313,Scissors,Stationery,East,High,483,7392
314,Scissors,Stationery,South,Low,381,3365
315,Mouse,Electronics,Central,Low,19568,9627
316,Stapler,Stationery,East,Low,476,5535
317,Racket,Sports,South,High,8696,3877
318,Bench,Furniture,North,High,41382,5487
319,Bookshelf,Furniture,South,Medium,47883,4148
320,Net,Sports,South,Low,8662,1907
321,Dumbbell,Sports,East,Low,8227,7709
322,Jacket,Clothing,East,Low,4813,7014
323,Monitor,Electronics,East,Medium,1808,8303
324,Ball,Sports,North,Low,4159,6258
325,Gloves,Clothing,North,Low,1082,9106
326,Belt,Clothing,North,Medium,4601,4990
327,Headphones,Electronics,Central,Low,14657,1492
328,Phone,Electronics,South,Low,79764,8601
329,Helmet,Sports,West,Low,1688,1740
330,Pen,Stationery,West,Low,266,2802
331,Phone,Electronics,West,High,72188,4719
332,Bench,Furniture,West,Medium,12269,1303
333,Sweater,Clothing,Central,High,4505,
334,Tablet,Electronics,East,Low,45119,6253
335,Belt,Clothing,North,Low,1401,6790
336,Cabinet,Furniture,North,Low,36286,6314
337,Shoes,Clothing,Central,Medium,2047,7505
338,T-Shirt,Clothing,North,Low,5455,5479
339,Bat,Sports,Central,Low,2143,8105
340,Desk,Furniture,East,Low,24277,2972
341,Charger,Electronics,Central,High,12272,9746
342,Stool,Furniture,North,Medium,20741,5723
343,Marker,Stationery,North,Medium,157,4630
344,Shoes,Clothing,Central,Medium,3975,5975
345,Skipping Rope,Sports,West,High,657,4630
346,Wardrobe,Furniture,Central,Low,39883,6777
347,Bookshelf,Furniture,East,Medium,33704,4541
348,Notebook,Stationery,North,Low,44,6701
349,T-Shirt,Clothing,Central,Low,3803,2789
350,Helmet,Sports,South,Low,5924,4317
351,Frisbee,Sports,East,High,8633,8786
352,Stapler,Stationery,West,High,12,2924
353,Sweater,Clothing,Central,Low,2488,2819
354,Scarf,Clothing,West,Low,3088,7400
355,Football,Sports,Central,Low,5425,
356,Sweater,Clothing,West,Low,4598,3375
357,Gloves,Clothing,West,Medium,920,6408
358,Highlighter,Stationery,South,High,114,1175
359,Laptop,Electronics,East,Medium,66387,9789
360,Ruler,Stationery,Central,High,274,8046
361,Scarf,Clothing,East,Low,5739,1170
362,Speaker,Electronics,South,Low,50275,3526
363,Cabinet,Furniture,West,Low,42434,6624
364,Ball,Sports,South,Low,6157,6089
365,Racket,Sports,North,Medium,4981,9337
366,Jacket,Clothing,Central,Low,4391,4081
367,Jacket,Clothing,North,Medium,5140,1693
368,T-Shirt,Clothing,North,Low,5858,5988
369,Jeans,Clothing,Central,Low,441,9156
370,Frisbee,Sports,East,High,8857,3354
371,Helmet,Sports,West,Medium,2531,9347
372,Laptop,Electronics,North,Low,69684,8659
373,Yoga Mat,Sports,North,Medium,5439,4903
374,Folder,Stationery,South,Low,331,2032
375,Marker,Stationery,West,Medium,20,
376,Gloves,Clothing,North,Low,5280,4651
377,Monitor,Electronics,Central,High,42460,
378,Cap,Clothing,West,Medium,4259,2106
379,Cabinet,Furniture,Central,Low,21760,8936
380,Headphones,Electronics,North,Low,48175,1125
381,Scissors,Stationery,Central,Low,181,7317
382,Scissors,Stationery,North,High,226,6754
383,Helmet,Sports,West,Low,4796,8136
384,Camera,Electronics,North,Low,21633,3127
385,Headphones,Electronics,East,Medium,17950,8652
386,Sofa,Furniture,East,Low,48847,4408
387,Eraser,Stationery,Central,Low,449,3145
388,Highlighter,Stationery,West,Medium,198,7621
389,Football,Sports,South,Low,2161,2498
390,Net,Sports,West,Low,2526,7388
391,Monitor,Electronics,South,Low,15481,
392,Ruler,Stationery,East,Low,377,4709
393,Stapler,Stationery,West,Low,216,8609
394,Lamp,Furniture,South,Low,46039,6757
395,T-Shirt,Clothing,West,Low,3481,2600
396,Lamp,Furniture,North,Low,41405,1662
397,T-Shirt,Clothing,Central,Low,1822,3559
398,T-Shirt,Clothing,Central,Low,5429,4729
399,Skipping Rope,Sports,Central,Low,7275,6718
400,Phone,Electronics,East,High,77893,1775
401,Chair,Furniture,North,Medium,15271,6663
402,Keyboard,Electronics,West,High,30140,2473
403,Scissors,Stationery,West,High,364,8418
404,Bat,Sports,South,Low,8536,3091
405,Shoes,Clothing,North,High,4780,9952
406,Bookshelf,Furniture,Central,Low,5391,6689
407,Jeans,Clothing,South,Medium,1323,8969
408,Shoes,Clothing,South,Low,5864,6758
409,Stapler,Stationery,South,Medium,133,2932
410,Yoga Mat,Sports,South,Medium,2686,8555
411,Shoes,Clothing,North,Medium,301,4382
412,Laptop,Electronics,East,Low,15695,8340
413,Monitor,Electronics,East,Low,75804,3754
414,Ball,Sports,North,Low,8104,6434
415,Net,Sports,North,Medium,7264,9897
416,Notebook,Stationery,East,High,339,5119
417,Chair,Furniture,South,Medium,3157,3377
418,Glue,Stationery,South,High,279,3760
419,Camera,Electronics,Central,Low,25388,6836
420,Marker,Stationery,East,Low,480,5154
421,Desk,Furniture,North,Low,42670,7606
422,Headphones,Electronics,West,Low,21841,2314
423,Bookshelf,Furniture,South,Low,43230,2469
424,Mouse,Electronics,West,Low,50022,
425,Football,Sports,West,Low,1329,9431
426,Socks,Clothing,North,Low,5656,3888
427,Cabinet,Furniture,East,Low,38421,4201
428,Jeans,Clothing,Central,Low,3972,9760
429,Cabinet,Furniture,Central,Medium,5432,6431
430,Net,Sports,Central,Medium,6189,3242
431,Glue,Stationery,Central,High,24,4645
432,Jeans,Clothing,South,Medium,3247,7821
433,Ruler,Stationery,South,Medium,212,4723
434,Bookshelf,Furniture,Central,Medium,16000,5153
435,Headphones,Electronics,Central,Medium,65330,8506
436,Wardrobe,Furniture,Central,Medium,49707,2314
437,Jeans,Clothing,West,Low,4321,2877
438,Ball,Sports,West,High,6571,4139
439,Skipping Rope,Sports,North,Low,1092,1773
440,Notebook,Stationery,North,Medium,499,5914
441,Monitor,Electronics,West,High,12695,4303
442,Ball,Sports,East,Low,5743,1190
443,Pen,Stationery,South,Low,387,6848
444,T-Shirt,Clothing,Central,Low,3114,2850
445,Headphones,Electronics,East,Low,59758,
446,Skipping Rope,Sports,North,Medium,8146,5233
447,Sofa,Furniture,Central,High,46533,3363
448,Net,Sports,Central,High,4552,1226
449,Tablet,Electronics,South,Low,64634,1580
450,Monitor,Electronics,Central,High,79838,8794
451,Stool,Furniture,West,Low,41532,6913
452,Ruler,Stationery,South,Low,77,1715
453,Sofa,Furniture,East,Medium,23216,7355
454,Glue,Stationery,North,Low,257,1336
455,Stool,Furniture,Central,Low,11057,3353
456,Scissors,Stationery,East,Low,144,9653
457,Racket,Sports,North,High,1710,7983
458,Ball,Sports,East,Medium,4050,3312
459,Camera,Electronics,East,Medium,67903,5017
460,Ruler,Stationery,West,Low,370,6295
461,Belt,Clothing,East,High,2123,3470
462,Bookshelf,Furniture,North,High,45500,8299
463,Gloves,Clothing,East,High,5007,
464,Folder,Stationery,East,Medium,292,6578
465,Headphones,Electronics,Central,High,77867,6791
466,Socks,Clothing,West,Medium,754,6230
467,Lamp,Furniture,East,Medium,12284,4881
468,Headphones,Electronics,North,Low,27459,5630
469,Ball,Sports,South,Low,1080,1796
470,Phone,Electronics,Central,Low,19113,
471,Ruler,Stationery,North,Medium,482,
472,Glue,Stationery,North,Medium,217,6534
473,Desk,Furniture,West,Medium,7214,6480
474,Gloves,Clothing,West,Low,3995,1421
475,Highlighter,Stationery,East,Low,324,6393
476,Chair,Furniture,North,Low,10849,2472
477,Glue,Stationery,West,Low,358,3513
478,Frisbee,Sports,East,Low,4374,8824
479,Camera,Electronics,Central,High,60596,6920
480,Football,Sports,East,Low,298,2634
481,Stapler,Stationery,South,Low,56,3197
482,Laptop,Electronics,Central,Medium,73977,5245
483,Dumbbell,Sports,South,High,2805,6747
484,Stool,Furniture,West,Low,24059,7373
485,Shoes,Clothing,East,Medium,416,1252
486,Keyboard,Electronics,East,Low,75150,7153
487,Desk,Furniture,East,Low,47982,4790
488,Marker,Stationery,East,Medium,339,9169
489,Bench,Furniture,South,Low,19016,3236
490,Folder,Stationery,North,Low,258,5091
491,Table,Furniture,Central,Medium,31190,1854
492,Table,Furniture,North,Medium,30275,3290
493,Notebook,Stationery,North,Low,477,
494,Stapler,Stationery,Central,Medium,59,8610
495,Jeans,Clothing,West,Low,5650,6499
496,Charger,Electronics,South,Low,3212,
497,Frisbee,Sports,South,Medium,1868,1791
498,Pen,Stationery,North,Low,259,9608
499,T-Shirt,Clothing,South,Low,4627,9937
500,Ball,Sports,Central,Low,8280,2266
501,Marker,Stationery,South,Medium,149,1249
502,Folder,Stationery,North,High,110,7686
503,Dumbbell,Sports,East,Low,828,9912
504,Ruler,Stationery,East,Medium,457,5400
505,Sweater,Clothing,East,Medium,3337,7341
506,Sweater,Clothing,South,High,5401,
507,Football,Sports,East,Medium,6326,4250
508,Phone,Electronics,Central,Medium,7689,6314
509,Belt,Clothing,East,Low,4932,
510,Belt,Clothing,East,Medium,3312,7206
511,Pen,Stationery,West,High,146,6277
512,Speaker,Electronics,South,High,35924,8754
513,Ruler,Stationery,Central,Low,123,2078
514,Dumbbell,Sports,Central,Low,2921,4909
515,Sofa,Furniture,West,Low,44235,1708
516,Scissors,Stationery,East,High,428,7717
517,Lamp,Furniture,West,Low,24873,9562
518,Net,Sports,West,Medium,4655,8310
519,Mouse,Electronics,West,Medium,24073,3455
520,Monitor,Electronics,East,Low,32346,9575
521,Scissors,Stationery,East,Low,112,
522,Notebook,Stationery,Central,Low,377,6308
523,Marker,Stationery,East,High,56,9083
524,Headphones,Electronics,South,Low,39270,7088
525,Mouse,Electronics,West,Low,39898,8060
526,Net,Sports,East,Low,2271,4139
527,Dumbbell,Sports,North,Medium,5547,2309
528,Sweater,Clothing,West,Medium,4268,1419
529,Charger,Electronics,Central,Low,61778,8145
530,Scarf,Clothing,South,High,3803,3216
531,Bat,Sports,South,Medium,6731,5816
532,Dumbbell,Sports,West,Medium,2085,2263
533,Bat,Sports,North,Low,3682,1901
534,Table,Furniture,West,High,37569,7847
535,Racket,Sports,West,High,2534,4117
536,Bat,Sports,South,High,4650,2419
537,Scissors,Stationery,East,Medium,162,9371
538,T-Shirt,Clothing,East,Low,3314,9840
539,Folder,Stationery,South,Low,116,7124
540,Scarf,Clothing,Central,Low,2999,1838
541,Notebook,Stationery,Central,Low,497,6301
542,Camera,Electronics,South,Medium,39411,4430
543,Frisbee,Sports,West,Low,7438,4329
544,Monitor,Electronics,West,High,17513,
545,Charger,Electronics,West,Low,74739,3689
546,Shoes,Clothing,East,High,4578,3388
547,Wardrobe,Furniture,North,Low,14713,1824
548,Shoes,Clothing,East,Medium,3824,3536
549,Monitor,Electronics,North,Low,59699,4812
550,Dumbbell,Sports,Central,Medium,5221,6314
551,Helmet,Sports,South,High,3931,1539
552,Scissors,Stationery,South,Medium,124,2533
553,Stool,Furniture,South,Medium,29671,7576
554,Laptop,Electronics,East,Low,28787,9590
555,Ball,Sports,East,Low,441,9135
556,Headphones,Electronics,West,Low,40908,9859
557,Headphones,Electronics,South,Low,30976,5912
558,Charger,Electronics,Central,Low,1372,3493
559,Notebook,Stationery,South,Low,240,6399
560,Stapler,Stationery,North,Medium,162,8454
561,Speaker,Electronics,North,Medium,79265,1588
562,Laptop,Electronics,Central,Medium,55333,3162
563,Gloves,Clothing,East,Low,5632,6889
564,Chair,Furniture,East,Low,43755,8868
565,Stapler,Stationery,East,Low,460,3507
566,Cap,Clothing,Central,Medium,2856,3687
567,Football,Sports,North,Medium,6161,5644
568,Belt,Clothing,South,High,2165,9762
569,Helmet,Sports,North,Low,1029,4455
570,Chair,Furniture,South,Low,18812,7946
571,Gloves,Clothing,Central,Low,4867,2381
572,Helmet,Sports,South,Low,8554,2018
573,Chair,Furniture,Central,Low,7927,
574,Racket,Sports,East,Low,7715,3995
575,Tablet,Electronics,West,Medium,5425,5011
576,Wardrobe,Furniture,South,Low,24065,4338
577,Bookshelf,Furniture,East,Medium,5883,8859
578,Mouse,Electronics,Central,Medium,10248,2026
579,Desk,Furniture,East,Medium,7554,6721
580,Racket,Sports,West,Medium,8280,5963
581,Mouse,Electronics,Central,Low,51770,9404
582,Highlighter,Stationery,Central,Medium,333,5128
583,Bookshelf,Furniture,South,Medium,38305,9071
584,Bat,Sports,West,Medium,6618,6613
585,Sweater,Clothing,North,Low,5704,6563
586,Yoga Mat,Sports,East,Low,8162,2812
587,Sweater,Clothing,West,Medium,3947,9935
588,Chair,Furniture,East,Low,32035,5786
589,Pen,Stationery,East,Low,465,9817
590,Chair,Furniture,South,Medium,4221,4016
591,Cap,Clothing,East,High,3168,6759
592,Yoga Mat,Sports,East,Low,8452,4103
593,Cabinet,Furniture,Central,Low,12991,5028
594,Gloves,Clothing,East,Medium,5739,9419
595,Jacket,Clothing,East,Medium,821,6425
596,Cap,Clothing,East,Low,5616,7158
597,Bat,Sports,West,Low,444,
598,Speaker,Electronics,West,Low,68372,8518
599,Tablet,Electronics,West,Low,36780,9322
600,Keyboard,Electronics,South,Medium,38014,4960
601,Ruler,Stationery,North,Low,218,7233
602,Socks,Clothing,East,Low,4911,1791
603,Dumbbell,Sports,South,Low,1160,9528
604,Lamp,Furniture,North,Medium,26598,6900
605,Lamp,Furniture,East,High,32612,6257
606,Sweater,Clothing,North,Medium,3163,7316
607,Cap,Clothing,North,Low,5301,7688
608,Table,Furniture,North,Low,36606,7745
609,Camera,Electronics,West,Low,53044,5724
610,Camera,Electronics,West,Medium,6617,6006
611,Highlighter,Stationery,East,Low,134,9987
612,Charger,Electronics,West,High,15784,3718
613,Chair,Furniture,West,Low,23896,9188
614,Glue,Stationery,South,Medium,83,9539
615,Cap,Clothing,South,Low,5786,
616,Jeans,Clothing,Central,Low,4900,8086
617,Shoes,Clothing,Central,Medium,5766,3170
618,Bookshelf,Furniture,South,Medium,20020,7241
619,Stapler,Stationery,West,Medium,150,9340
