item_id,order_id,product_id,quantity,unit_price,discount_percent
I00104,O00074,P0059,5,635.33,10
I00105,O00207,P0123,3,698.04,5
I00106,O01467,P0452,4,1163.27,15
I00107,O01504,P0202,3,411.85,20
I00108,O00417,P0106,3,490.74,10
I00109,O01503,P0362,1,252.74,0
I00110,O01435,P0095,5,770.78,20
I00111,O01857,P0379,2,718.47,0
I00112,O00342,P0162,2,355.16,10
I00113,O01971,P0461,1,139.83,20
I00114,O00364,P0220,3,226.38,0
I00115,O01748,P0088,1,287.34,30
I00116,O01195,P0181,1,1216.38,20
I00117,O00225,P0448,1,692.47,0
I00118,O00596,P0291,2,1268.09,25
I00119,O00301,P0258,1,93.8,0
I00120,O00688,P0156,4,183.93,20
I00121,O01118,P0377,3,815.86,20
I00122,O00028,P0130,3,416.14,10
I00123,O01061,P0364,5,81.38,20
I00124,O01064,P0058,1,1030.32,0
I00125,O01351,P0211,2,36.79,10
I00126,O01183,P0255,4,449.34,10
I00127,O00397,P0106,4,620.33,0
I00128,O01284,P0495,-5,985.46,20
I00129,O00359,P0491,3,1110.82,10
I00130,O01207,P0455,4,587.24,10
I00131,O01187,P0159,5,49.83,10
I00132,O00888,P0428,4,170.47,30
I00133,O00711,P0496,3,168.64,0
I00134,O01899,P0497,2,419.62,20
I00135,O99911,P0349,3,891.97,30
I00136,O00622,P0286,4,133.34,10
I00137,O00032,P0034,4,907.97,0
I00138,O01215,P0112,1,168.82,0
I00139,O00882,P0251,3,209.59,0
I00140,O00718,P0026,3,239.85,25
I00141,O01149,P0341,2,787.74,0
I00142,O01502,P0366,2,860.89,15
I00143,O00596,P0300,2,1016.41,0
I00144,O00510,P0243,4,1044.4,15
I00145,O00201,P0205,3,1389.17,10
I00146,O01155,P0306,4,359.55,10
I00147,O01400,P0412,2,401.75,10
I00148,O00409,P0070,3,647.23,10
I00149,O01899,P0044,4,40.07,25
I00150,O01794,P0094,4,983.79,0
I00151,O01422,P0071,3,1060.05,25
I00152,O00733,P0479,4,1057.7,10
I00153,O01970,P0219,4,444.63,20
I00154,O00055,P0015,4,745.04,0
I00155,O01858,P0387,3,324.66,5
I00156,O00261,P0298,5,471.14,25
I00157,O00601,P0461,1,146.11,15
I00158,O00013,P0065,4,752.28,25
I00159,O00174,P0236,1,1283.36,10
I00160,O00220,P0425,3,1295.99,30
I00161,O01159,P0050,4,1124.87,10
I00162,O01517,P0443,5,976.29,25
I00163,O01437,P0379,2,846.76,25
I00164,O01981,P0074,4,1040.34,0
I00165,O01311,P0115,2,849.43,10
I00166,O01919,P0322,1,802.23,20
I00167,O00235,P0320,1,824.51,0
I00168,O00248,P0079,5,230.56,0
I00169,O00971,P0127,1,884.26,25
I00170,O01897,P0228,1,199.24,10
I00171,O00377,P0208,2,1127.32,25
I00172,O01396,P0134,4,683.67,30
I00173,O01303,P0064,1,347.38,0
I00174,O01347,P0073,2,213.62,0
I00175,O01120,P0262,2,913.2,20
I00176,O01368,P0246,1,1060.36,30
I00177,O00564,P0253,4,1123.98,15
I00178,O00951,P0358,4,434.38,15
I00179,O00937,P0076,1,658.23,30
I00180,O00621,P0200,1,598.03,30
I00181,O01858,P0228,3,170.23,0
I00182,O00939,P0240,3,405.54,0
I00183,O01753,P0082,5,421.47,5
I00184,O01076,P0179,4,982.43,25
I00185,O00311,P0033,3,1005.18,30
I00186,O01759,P0174,2,42.51,10
I00187,O00621,P0402,4,1091.71,0
I00188,O00991,P0470,4,1070.28,20
I00189,O01180,P0311,5,708.33,25
I00190,O00664,P0133,5,968.28,30
I00191,O01700,P0179,0,874.78,0
I00192,O01501,P0024,2,270.04,5
I00193,O01023,P0050,4,1062.42,10
I00194,O01581,P0390,2,721.24,0
I00195,O01492,P0461,4,164.06,15
I00196,O01254,P0481,-6,1106.59,0
I00197,O00150,P0020,4,1349.66,10
I00198,O00061,P0311,2,700.96,10
I00199,O00774,P0056,2,683.79,30
I00200,O00518,P0285,4,444.96,20
I00201,O00413,P0462,-4,332.66,15
I00202,O01618,P0417,2,847.67,0
I00203,O01966,P0299,1,80.18,5
I00204,O01830,P0018,1,346.34,10
I00205,O01120,P0397,1,574.3,10
I00206,O01962,P0095,5,825.94,20
I00207,O01169,P0098,4,334.65,25
I00208,O01843,P0181,5,965.26,0
I00209,O00876,P0411,4,129.15,0
I00210,O01603,P0292,5,64.31,10
I00211,O00473,P0052,1,873.2,30
I00212,O00459,P0277,3,204.82,10
I00213,O00140,P0200,2,803.89,10
I00214,O00495,P0039,5,81.17,30
I00215,O01267,P0257,1,198.21,25
I00216,O01194,P0358,4,448.64,10
I00217,O00693,P0335,4,551.1,10
I00218,O01567,P0103,1,224.44,0
I00219,O01503,P0105,3,1057.25,0
I00220,O01650,P0121,5,794.03,30
I00221,O01654,P0360,1,863.12,10
I00222,O01226,P0037,5,1331.72,0
I00223,O01939,P0455,2,642.71,10
I00224,O00073,P0371,4,13.98,25
I00225,O00884,P0116,4,522.84,10
I00226,O01990,P0401,2,785.61,0
I00227,O01585,P0477,2,885.62,25
I00228,O01397,P0312,1,456.33,25
I00229,O01569,P0247,4,472.23,0
I00230,O01126,P0221,2,55.12,0
I00231,O01261,P0225,3,830.02,10
I00232,O01881,P0100,1,89.79,5
I00233,O00021,P0119,2,968.55,15
I00234,O01655,P0383,5,596.72,30
I00235,O00031,P0024,2,397.96,0
I00236,O00899,P0040,2,141.17,10
I00237,O01234,P0023,2,331.58,10
I00238,O00981,P0067,1,123.19,0
I00239,O01114,P0040,2,154.45,20
I00240,O00732,P0362,2,266.26,20
I00241,O00752,P0366,5,873.04,10
I00242,O01079,P0445,3,750.13,10
I00243,O00214,P0358,1,394.28,10
I00244,O01947,P0462,5,286.28,20
I00245,O01868,P0144,2,615.34,25
I00246,O01133,P0119,2,1067.14,0
I00247,O01614,P0191,2,1148.93,0
I00248,O01332,P0121,4,859.24,0
I00249,O00070,P0011,3,1104.99,10
I00250,O01695,P0302,1,830.08,0
I00251,O00787,P0143,4,1257.43,0
I00252,O00910,P0442,1,278.96,5
I00253,O01352,P0106,4,537.82,25
I00254,O00065,P0027,5,966.05,10
I00255,O01247,P0480,3,425.07,10
I00256,O00444,P0415,1,371.28,10
I00257,O00889,P0372,4,706.99,0
I00258,O00795,P0414,3,79.97,25
I00259,O01473,P0238,5,654.01,25
I00260,O00781,P0134,4,523.97,5
I00261,O00575,P0068,3,1331.17,0
I00262,O00606,P0128,3,178.67,30
I00263,O00562,P0203,3,432.23,10
I00264,O01338,P0338,5,906.62,0
I00265,O01354,P0064,3,329.47,10
I00266,O00948,P0434,1,12.75,20
I00267,O01979,P0005,3,1030.21,20
I00268,O00447,P0327,4,312.32,0
I00269,O00567,P0297,5,585.24,25
I00270,O00903,P0161,2,275.21,10
I00271,O00532,P0393,4,252.56,0
I00272,O00301,P0117,5,818.93,0
I00273,O00079,P0120,2,674.8,25
I00274,O00650,P0441,-1,68.07,25
I00275,O01950,P0368,3,751.53,10
I00276,O01757,P0009,3,1105.48,25
I00277,O00481,P0368,3,689.73,0
I00278,O00232,P0040,5,172.08,0
I00279,O01169,P0122,3,330.26,15
I00280,O01794,P0037,3,1192.67,0
I00281,O01615,P0013,3,337.35,10
I00282,O01336,P0500,3,717.36,20
I00283,O01274,P0483,1,160.3,0
I00284,O01906,P0189,2,808.68,30
I00285,O00434,P0014,3,299.27,25
I00286,O01041,P0367,5,779.28,10
I00287,O01702,P0482,5,292.03,0
I00288,O00781,P0337,1,1275.14,0
I00289,O00460,P0491,5,1133.77,25
I00290,O01504,P0295,4,236.02,25
I00291,O01800,P0376,5,532.43,0
I00292,O01075,P0311,5,658.61,20
I00293,O01713,P0163,5,481.25,10
I00294,O00498,P0467,3,1057.19,5
I00295,O01992,P0234,1,608.86,5
I00296,O01803,P0228,4,227.75,10
I00297,O01036,P0041,1,113.54,10
I00298,O00472,P0335,4,674.4,15
I00299,O01694,P0118,2,838.12,25
I00300,O00835,P0126,5,210.72,0
I00301,O00588,P0311,3,602.12,10
I00302,O00863,P0061,5,76.89,0
I00303,O01806,P0295,2,223.8,0
I00304,O00342,P0449,1,97.15,15
I00305,O01457,P0135,4,188.0,0
I00306,O01708,P0065,4,898.34,0
I00307,O00150,P0354,2,264.71,25
I00308,O00795,P0444,4,513.6,10
I00309,O01141,P0066,2,479.71,10
I00310,O01690,P0061,3,86.33,30
I00311,O01480,P0312,1,417.46,0
I00312,O01946,P0379,4,910.27,15
I00313,O01710,P0323,4,794.01,10
I00314,O00276,P0388,2,139.77,30
I00315,O01044,P0470,1,1063.04,0
I00316,O01215,P0459,3,349.38,20
I00317,O00362,P0195,5,708.86,30
I00318,O00199,P0144,2,871.82,10
I00319,O01156,P0253,5,1111.53,25
I00320,O01901,P0297,4,499.49,10
I00321,O01551,P0166,2,626.16,0
I00322,O01505,P0022,2,148.58,15
I00323,O01802,P0266,5,998.56,10
I00324,O00340,P0051,1,373.03,10
I00325,O00459,P0141,2,271.48,10
I00326,O01242,P0481,1,1192.48,5
I00327,O00197,P0342,2,642.49,25
I00328,O00346,P0430,1,163.08,30
I00329,O01825,P0463,5,178.23,25
I00330,O01001,P0410,1,146.27,10
I00331,O01942,P0105,5,947.15,15
I00332,O00259,P0375,4,170.04,10
I00333,O01447,P0471,1,984.22,20
I00334,O00539,P0456,1,876.45,0
I00335,O00239,P0143,3,1203.27,0
I00336,O01490,P0382,1,883.03,10
I00337,O00566,P0081,4,262.43,25
I00338,O01448,P0345,3,146.49,0
I00339,O01445,P0222,5,153.39,10
I00340,O01354,P0098,1,335.72,0
I00341,O00771,P0126,2,162.18,5
I00342,O00993,P0136,2,1036.96,20
I00343,O01301,P0145,1,855.02,25
I00344,O00439,P0439,1,328.08,15
I00345,O01252,P0035,2,946.22,0
I00346,O00539,P0020,5,1146.44,15
I00347,O01307,P0324,3,188.63,20
I00348,O00369,P0272,3,580.9,5
I00349,O00994,P0449,4,90.74,15
I00350,O00986,P0307,3,735.47,0
I00351,O01805,P0113,3,996.14,15
I00352,O00507,P0497,4,511.31,0
I00353,O00654,P0091,1,452.57,10
I00354,O00263,P0357,4,509.15,20
I00355,O00481,P0308,1,1022.59,10
I00356,O01823,P0138,4,181.2,0
I00357,O00536,P0288,3,538.19,15
I00358,O00871,P0201,4,737.93,10
I00359,O00995,P0468,2,763.71,10
I00360,O00632,P0326,4,1298.03,15
I00361,O00342,P0114,5,52.79,5
I00362,O01942,P0400,5,936.9,30
I00363,O01106,P0169,1,743.87,0
I00364,O01599,P0411,3,148.65,10
I00365,O00130,P0393,1,250.68,25
I00366,O00407,P0108,2,46.73,25
I00367,O00470,P0203,3,606.32,0
I00368,O00847,P0467,2,1118.37,25
I00369,O00028,P0376,1,564.42,0
I00370,O00210,P0387,5,445.96,15
I00371,O00322,P0406,3,823.36,10
I00372,O01582,P0013,2,323.36,0
I00373,O01666,P0140,4,665.09,15
I00374,O01796,P0068,3,1290.23,0
I00375,O01479,P0040,4,142.35,0
I00376,O01110,P0008,5,526.24,0
I00377,O01624,P0049,4,323.58,5
I00378,O00640,P0426,3,385.37,15
I00379,O00619,P0263,3,214.47,20
I00380,O01986,P0104,5,499.9,20
I00381,O00191,P0193,2,337.35,15
I00382,O00583,P0288,5,442.42,25
I00383,O01018,P0126,4,180.81,10
I00384,O00222,P0391,4,147.0,5
I00385,O00814,P0296,-2,1225.41,20
I00386,O00224,P0190,3,92.3,10
I00387,O01999,P0074,1,1140.89,0
I00388,O01772,P0288,4,421.2,30
I00389,O00826,P0128,5,134.35,20
I00390,O01161,P0268,2,921.31,0
I00391,O00844,P0393,3,225.98,10
I00392,O00659,P0428,5,140.34,30
I00393,O00550,P0209,-2,1287.32,25
I00394,O01024,P0407,3,938.53,5
I00395,O00990,P0165,5,860.22,25
I00396,O01502,P0440,1,274.09,0
I00397,O00770,P0218,2,883.11,0
I00398,O00249,P0083,2,1068.99,5
I00399,O00233,P0225,1,1124.63,15
I00400,O01645,P0254,5,287.12,20
I00401,O01121,P0072,4,415.68,15
I00402,O00892,P0005,3,959.33,10
I00403,O01822,P0268,3,785.76,30
I00404,O00595,P0333,5,37.97,5
I00405,O01464,P0412,3,407.33,25
I00406,O00948,P0310,2,609.63,10
I00407,O01746,P0475,2,1296.26,0
I00408,O00971,P0269,1,1080.92,10
I00409,O00964,P0214,1,886.77,0
I00410,O00409,P0160,1,670.65,25
I00411,O00126,P0235,5,1071.34,20
I00412,O00718,P0305,5,721.22,5
I00413,O01901,P0177,2,37.3,10
I00414,O01778,P0146,4,411.3,30
I00415,O01279,P0374,4,119.43,10
I00416,O01351,P0288,2,493.38,0
I00417,O01497,P0304,2,994.13,10
I00418,O00210,P0092,2,876.49,25
I00419,O00785,P0301,3,856.8,30
I00420,O01239,P0396,-3,271.39,30
I00421,O00429,P0343,2,1115.49,0
I00422,O00444,P0402,1,881.96,30
I00423,O00974,P0076,1,695.67,10
I00424,O00107,P0040,2,198.78,25
I00425,O01362,P0414,4,92.5,10
I00426,O00241,P0155,2,790.18,25
I00427,O00790,P0202,4,465.94,10
I00428,O00650,P0160,5,704.71,0
I00429,O00439,P0453,2,73.25,10
I00430,O00896,P0365,5,314.18,20
I00431,O00514,P0251,1,244.97,25
I00432,O00714,P0461,2,138.7,0
I00433,O00955,P0444,3,480.37,15
I00434,O01795,P0110,2,485.86,15
I00435,O01532,P0192,1,952.89,5
I00436,O00400,P0227,1,304.04,30
I00437,O01866,P0159,3,52.96,10
I00438,O01243,P0258,3,126.44,0
I00439,O99905,P0332,4,748.67,0
I00440,O00562,P0357,-1,574.16,30
I00441,O01471,P0422,4,432.12,30
I00442,O00356,P0324,4,179.18,25
I00443,O00757,P0414,1,79.77,30
I00444,O01446,P0458,2,929.12,0
I00445,O01733,P0043,1,762.12,0
I00446,O00128,P0228,3,219.81,0
I00447,O01747,P0440,2,254.52,30
I00448,O01715,P0378,3,46.72,0
I00449,O01479,P0464,-3,1063.07,25
I00450,O00826,P0008,4,564.21,0
I00451,O01560,P0034,5,711.17,0
I00452,O00354,P0374,4,117.41,0
I00453,O01411,P0142,5,422.94,15
I00454,O01725,P0439,-5,350.76,10
I00455,O00242,P0141,3,279.55,20
I00456,O00177,P0291,5,1341.93,20
I00457,O00186,P0046,2,554.81,0
I00458,O01284,P0096,1,1074.94,0
I00459,O01307,P0404,3,435.99,20
I00460,O01932,P0042,2,927.69,10
I00461,O01931,P0429,2,16.73,0
I00462,O01446,P0159,3,46.71,0
I00463,O00647,P0143,4,942.85,5
I00464,O01810,P0428,2,142.8,0
I00465,O00901,P0152,3,853.72,0
I00466,O00745,P0251,3,214.07,25
I00467,O01408,P0231,2,560.36,0
I00468,O00790,P0487,2,1138.25,25
I00469,O01439,P0292,4,68.42,10
I00470,O01631,P0331,3,313.9,5
I00471,O01032,P0176,5,478.58,10
I00472,O00432,P0047,3,232.65,5
I00473,O01889,P0240,1,318.09,25
I00474,O00974,P0338,2,1059.95,20
I00475,O01155,P0301,4,752.54,30
I00476,O01437,P0462,1,241.51,10
I00477,O00326,P0446,4,1285.1,20
I00478,O01850,P0172,1,761.9,0
I00479,O00334,P0468,4,876.47,25
I00480,O00900,P0096,5,1276.5,20
I00481,O00891,P0304,4,1189.76,20
I00482,O01482,P0428,3,146.41,30
I00483,O00822,P0173,3,284.64,0
I00484,O00480,P0498,5,962.21,0
I00485,O00552,P0216,5,63.71,15
I00486,O01049,P0304,2,936.92,10
I00487,O01429,P0454,5,175.07,5
I00488,O01540,P0488,2,358.17,0
I00489,O01966,P0340,1,878.42,0
I00490,O00290,P0159,3,63.53,20
I00491,O00002,P0203,2,459.1,5
I00492,O00630,P0453,1,61.07,0
I00493,O00895,P0121,1,910.0,5
I00494,O01732,P0079,3,237.73,0
I00495,O00205,P0245,4,430.66,25
I00496,O00436,P0352,4,311.59,15
I00497,O00498,P0426,1,364.33,15
I00498,O01916,P0066,2,462.94,15
I00499,O00580,P0396,4,221.34,30
I00500,O00711,P0202,4,496.68,30
I00501,O01247,P0014,2,315.67,5
I00502,O01027,P0189,1,934.33,30
I00503,O01874,P0307,-1,858.58,5
I00504,O00091,P0071,2,1048.88,10
I00505,O00787,P0223,2,166.39,15
I00506,O00793,P0078,4,771.93,0
I00507,O00864,P0134,2,716.82,0
I00508,O01709,P0204,1,782.99,20
I00509,O01406,P0413,1,578.82,15
I00510,O00330,P0412,3,437.39,0
I00511,O01406,P0295,4,224.95,0
I00512,O01373,P0249,4,942.21,15
I00513,O00871,P0395,3,56.37,0
I00514,O01861,P0310,4,760.16,25
I00515,O01459,P0191,3,1172.58,25
I00516,O01609,P0498,2,776.89,15
I00517,O01783,P0273,1,742.38,0
I00518,O01914,P0004,5,1082.51,10
I00519,O01259,P0102,4,984.7,15
I00520,O00082,P0025,1,986.06,20
I00521,O01822,P0236,5,1069.97,10
I00522,O01383,P0130,3,426.95,0
I00523,O00601,P0278,3,490.38,15
I00524,O00610,P0009,1,1009.88,30
I00525,O00075,P0058,5,1069.95,15
I00526,O01096,P0128,1,140.24,0
I00527,O01011,P0373,4,478.76,10
I00528,O01412,P0177,5,42.17,5
I00529,O01710,P0471,5,1318.25,30
I00530,O00669,P0235,3,937.88,0
I00531,O01483,P0076,1,846.93,15
I00532,O00162,P0263,3,232.98,10
I00533,O00377,P0217,3,88.73,0
I00534,O01977,P0429,1,18.17,5
I00535,O00621,P0293,5,54.77,25
I00536,O00500,P0277,1,250.8,10
I00537,O01558,P0294,4,827.87,10
I00538,O00381,P0383,3,582.91,25
I00539,O00817,P0344,2,375.43,10
I00540,O00425,P0140,1,484.94,15
I00541,O00547,P0337,4,996.14,30
I00542,O00652,P0405,1,1109.14,5
I00543,O00665,P0116,2,398.11,0
I00544,O01459,P0314,5,706.16,20
I00545,O01220,P0302,3,842.82,25
I00546,O01143,P0200,1,736.19,10
I00547,O01685,P0175,4,496.62,0
I00548,O01022,P0237,2,947.28,25
I00549,O00799,P0358,3,336.66,15
I00550,O01171,P0017,1,1166.22,20
I00551,O00171,P0288,2,579.58,25
I00552,O01538,P0190,3,85.86,20
I00553,O00320,P0346,5,902.75,30
I00554,O01157,P0086,4,952.12,15
I00555,O01994,P0392,3,408.33,25
I00556,O00481,P0381,4,280.64,25
I00557,O01944,P0068,1,1088.86,0
I00558,O00227,P0203,5,470.33,10
I00559,O01571,P0092,4,1109.64,25
I00560,O00446,P0210,4,1124.44,30
I00561,O00744,P0143,1,1021.69,10
I00562,O00804,P0258,2,109.74,15
I00563,O00587,P0254,4,364.65,0
I00564,O00820,P0474,3,522.18,0
I00565,O01563,P0273,4,761.28,0
I00566,O00786,P0350,5,1088.49,15
I00567,O00387,P0499,1,322.35,30
I00568,O01270,P0115,5,627.47,0
I00569,O00838,P0307,1,802.07,10
I00570,O01166,P0313,4,596.5,0
I00571,O01522,P0488,5,285.62,15
I00572,O00396,P0283,2,301.77,20
I00573,O00491,P0189,2,1077.02,20
I00574,O00410,P0480,3,569.17,0
I00575,O00064,P0151,2,966.08,30
I00576,O01401,P0237,5,816.14,20
I00577,O01993,P0124,-4,29.42,25
I00578,O01238,P0329,3,176.82,0
I00579,O01972,P0126,1,186.87,0
I00580,O01387,P0384,4,212.41,25
I00581,O00145,P0241,4,902.97,10
I00582,O00248,P0453,5,76.36,25
I00583,O00985,P0366,1,767.26,10
I00584,O01685,P0416,1,671.77,10
I00585,O01048,P0205,4,1271.98,15
I00586,O00299,P0404,3,460.63,30
I00587,O01479,P0386,2,615.84,10
I00588,O00291,P0212,2,278.09,20
I00589,O00676,P0108,1,44.8,20
I00590,O01542,P0461,2,154.29,10
I00591,O00911,P0176,3,406.9,20
I00592,O00564,P0359,5,1045.56,0
I00593,O01069,P0390,3,691.66,0
I00594,O01155,P0114,3,59.1,10
I00595,O00325,P0158,5,94.16,10
I00596,O01379,P0244,3,1179.26,0
I00597,O00264,P0381,2,316.07,30
I00598,O00527,P0150,2,487.52,0
I00599,O00621,P0436,2,471.85,30
I00600,O01477,P0007,5,84.92,25
I00601,O01844,P0208,2,1124.25,10
I00602,O01747,P0330,5,1011.45,10
I00603,O01773,P0481,-4,1086.59,0
I00604,O00360,P0446,4,1118.63,15
I00605,O00133,P0008,-3,512.06,5
I00606,O00308,P0159,3,50.19,30
I00607,O00245,P0399,2,363.57,10
I00608,O01870,P0256,1,400.89,25
I00609,O00415,P0460,3,171.65,0
I00610,O01950,P0205,3,1229.74,25
I00611,O01970,P0035,5,862.94,25
I00612,O01635,P0447,1,712.38,20
I00613,O00502,P0291,3,1193.76,0
I00614,O01757,P0354,2,358.7,5
I00615,O00364,P0354,1,331.96,30
I00616,O00188,P0137,2,352.48,0
I00617,O01071,P0464,3,1033.47,0
I00618,O01200,P0107,5,378.91,20
I00619,O01806,P0238,1,566.17,10
I00620,O00403,P0405,4,981.68,0
I00621,O00405,P0227,1,268.29,25
I00622,O00998,P0302,3,771.18,30
I00623,O01764,P0005,1,1078.36,20
I00624,O01207,P0399,5,352.09,20
I00625,O00834,P0001,5,1060.14,10
I00626,O00674,P0253,5,1249.22,20
I00627,O01322,P0264,3,405.5,10
I00628,O00699,P0445,3,715.79,25
I00629,O00902,P0258,1,99.92,0
I00630,O01830,P0250,5,899.73,20
I00631,O00135,P0254,4,286.12,10
I00632,O00908,P0049,3,345.98,25
I00633,O01595,P0422,1,464.51,5
I00634,O00626,P0110,3,428.35,25
I00635,O00615,P0242,5,276.44,5
I00636,O00664,P0293,2,64.72,5
I00637,O00352,P0393,2,217.17,30
I00638,O01960,P0340,5,812.15,20
I00639,O00854,P0335,3,704.56,5
I00640,O01914,P0478,3,95.95,10
I00641,O01489,P0075,-3,253.57,10
I00642,O01154,P0231,4,457.08,15
I00643,O00828,P0003,1,629.72,15
I00644,O00287,P0182,4,1030.24,10
I00645,O00415,P0010,2,53.46,10
I00646,O00049,P0151,3,1325.29,15
I00647,O01143,P0405,5,887.94,5
I00648,O01031,P0409,4,310.45,10
I00649,O00329,P0055,3,176.58,20
I00650,O00963,P0483,1,146.7,15
I00651,O01447,P0353,4,395.91,5
I00652,O01201,P0144,4,884.3,0
I00653,O00702,P0052,3,847.72,25
I00654,O00583,P0190,1,90.86,20
I00655,O00152,P0069,3,133.61,15
I00656,O00309,P0423,5,939.64,10
I00657,O00181,P0294,4,736.51,5
I00658,O01563,P0168,-3,528.87,25
I00659,O01413,P0272,1,615.96,0
I00660,O01784,P0396,3,263.45,10
I00661,O01531,P0464,2,987.04,0
I00662,O00944,P0165,3,862.65,10
I00663,O01442,P0102,3,1048.44,10
I00664,O00048,P0310,2,744.06,0
I00665,O00812,P0329,4,201.91,0
I00666,O01870,P0426,5,373.93,10
I00667,O00066,P0009,5,1058.97,10
I00668,O00579,P0405,5,946.23,10
I00669,O00155,P0325,5,809.56,0
I00670,O00231,P0499,5,341.01,0
I00671,O01744,P0409,-1,352.29,30
I00672,O01332,P0473,2,413.37,0
I00673,O01675,P0393,3,243.25,20
I00674,O01514,P0232,2,291.68,10
I00675,O01179,P0038,3,650.29,20
I00676,O01515,P0271,4,780.55,0
I00677,O00014,P0206,5,135.37,15
I00678,O00661,P0010,4,38.09,0
I00679,O01197,P0133,3,1298.48,25
I00680,O00411,P0235,5,1219.6,10
I00681,O01777,P0458,5,986.31,0
I00682,O00423,P0481,-6,1074.82,0
I00683,O01233,P0052,1,835.39,0
I00684,O00142,P0277,3,206.36,10
I00685,O00428,P0476,2,762.95,10
I00686,O00556,P0084,2,785.69,5
I00687,O00282,P0396,4,224.02,0
I00688,O00053,P0428,4,192.38,5
I00689,O00899,P0195,4,626.0,5
I00690,O01209,P0106,1,626.35,0
